s_no,repo,issue_number,Associated Component,acc_component,component_agree,codes_primary,acc_code_primary,code_agree
28,sigstore/cosign,1642,cosign-error handling/notification,cosign - error alert/logging,True,user says that cosign does not enforce error messages it publishes when there are issues with getting and using authority keys. User says t…,User requests enforcement change: authority key errors currently warn but should hard-fail in verification to avoid insecure warn-only beha…,True
29,sigstore/cosign,1653,cosign-webhook (API),cosign core,True,User is asking a question; they ask will the cosign webhook allow them deploy images deployed from multiple source in one cluster+namespace…,User asks how webhook behavior works with multiple image repos/sidecars; seeks clarification on whether webhook pulls images and how it han…,True
30,sigstore/cosign,1655,Cosign-signature storage,cosign core,True,user is requesting a feature that Allows specifying ImagePullSecrets in ClusterImagePolicies. user says that Currently `cosigned` uses Imag…,Feature request: allow specifying ImagePullSecrets in ClusterImagePolicies for Kubernetes policy integration.,True
31,sigstore/cosign,1847,Cosign-Signing Workflow,"cosign - CLI, cosign - documentation/help",True,"User is asking a question, whether to use `--certificate` or `--cert` flag when signing with cosign. This the user says because when he use…",User asks a CLI/docs question about flag naming consistency: should it be --certificate or --cert; wants consistent naming/alias clarity.,True
32,sigstore/cosign,1853,cosign,cosign - build/installation,True,User reports an error that Building `cosign` using the `Makefile` fails. This si after following directions/documentations. Admin says this…,User reports make cosign fails (including PIV/PKCS11 build target) with Go toolchain/build errors; asks how to build successfully following…,True
33,sigstore/cosign,1994,cosign,cosign core,True,User reports that their cosign implementation doesn't work for JFrog registry integration that is in-house deployed in their company. They …,User reports cosign cannot retrieve image metadata from JFrog Artifactory Enterprise; asks about compatibility/support for Artifactory regi…,True
34,sigstore/cosign,2053,cosign-CLI,cosign - CLI,True,user requests an enhancement request to either update the documentations or remane The `--k8s-keychain` flag in the cosign command as its m…,CLI UX request: rename --k8s-keychain flag for clarity/consistency; naming friction.,True
35,sigstore/cosign,2068,cosign- versioning/release,cosign - installation/distribution,True,"user reports that When using golang to fetch version 1.9.0 of cosign, the computed digest is not consistent between different environments.…",User reports digest mismatch when fetching module version v1.9.0; asks how to resolve integrity mismatch during module retrieval.,True
36,sigstore/cosign,2097,cosign_signing workflow,cosign core,True,user requests an enhancememnt feature to breakdown large blob file into batches for memory reasons; they say `sign-blob` logic attempts to …,User reports sign-blob reads entire file into memory; asks for streaming/chunked handling to avoid memory blowups on large blobs.,True
37,sigstore/cosign,2382,cosign - verification,cosign core,True,The user requests a feature enhancement to require embedded SCT on verification by default. The user describes the motivation for this; by …,"Feature/security request: require embedded SCT on verification by default, tightening default verification expectations.",True
38,sigstore/cosign,2419,"cosign- apis, verfifcation workflow",cosign core,True,User request enhancement to the feature-API by removing an endpoint from the verification flow to which other users says that this may stil…,Maintenance task: remove non-GA APIs from experimental sign-blob verification flow; stabilize/clean experimental pipeline.,True
39,sigstore/cosign,2462,"cosign - verification workflow, CLI",cosign - CLI,True,the user makes a feature enhancement request to addrees his concern that There's a lot of duplicated and almost-duplicated code in the veri…,CLI consistency request: verify* subcommands should share signature verification flag parsing to reduce confusing differences.,True
40,sigstore/cosign,2516,cosign - verification workflow,cosign - documentation/help,True,The user reports an issue with the signing workflow for OCI images where OCI signing does not work for self generated images but works just…,Guidance request: encourage signing OCI artifacts you produced (not what registry returns) to reduce provenance/trust-boundary confusion.,True
41,sigstore/cosign,2518,"Cosign - Releases, API, CLI",cosign core,True,"User requests a feature that cosign introduce a versioning policy and enforce it, there were lots of discussions about this.",Process request: establish and enforce a cosign versioning policy to reduce user confusion around compatibility and releases.,True
42,sigstore/cosign,2568,cosign,cosign core,True,user requests a feature enhancement to enable BYO *Bring Your Own* PKI Revocation: CA-issued cert.user describes a case study that may warr…,"Feature request: bring your own PKI revocation for CA-issued cert flows, enabling revocation checking in custom PKI scenarios.",True
43,sigstore/cosign,2593,cosign - CLI,cosign core,True,User makes a feature enhancement request to Cleanup KeyOpts for irrelevant options. The user says that there are lots of options in the Key…,Maintenance request: clean up KeyOpts by removing irrelevant options; reduce API/CLI confusion from unused flags/options.,True
44,sigstore/cosign,2832,cosign - CLI,cosign - CLI,True,user request feature enhancement to Add quiet flag to cosign cli. user says that currently there is no option to do this and that the users…,Feature request: add a --quiet flag to reduce output/noise for scripting and CI usage.,True
45,sigstore/cosign,2858,cosign,cosign core,True,user is asking a question about - How to reproduce v1.13 behaviour with v2 in a BYO PKI scenario. Use describes his scenario and says he ha…,User asks how to reproduce cosign v1.13 behavior with v2 in a BYO PKI scenario; seeks migration guidance and equivalent flags/workflow.,True
46,sigstore/cosign,3025,cosign - key creation,cosign core,True,user reports an issue: with creating a Key in AKV using Cosign. User provided an error list and admins direct him to another issue that see…,User reports failure creating a key in Azure Key Vault via cosign in an Azure DevOps pipeline; asks what permissions/config steps are missi…,True
47,sigstore/cosign,3235,cosign - verifcation workflow,cosign core,True,"user asks a question; How do they verify custom attestations. User provided his wiorkflow with errors received, and asks what he was suppos…",User asks how to verify custom attestations; seeks correct commands/flags and expected formats for non-standard attestation types.,True
48,sigstore/cosign,3260,cosign - verifcation workflow,cosign core,True,user request feature enhancement to Improve `dockerfile verify`. Thdescribes the that this integration with docker or dosckerfile works if …,Feature request: improve dockerfile verify experience/behavior; current workflow is insufficient or confusing for verifying Dockerfile-rela…,True
49,sigstore/cosign,3330,cosign - release/installation,cosign core,True,user is asking; if there was No artifact signature files for package manager files? More elaborately they aasked; how do I verify the `.deb…,User asks whether artifact signature files exist for package-manager artifacts; seeks guidance on signing/verifying non-container files.,True
50,sigstore/cosign,3340,"cosign- signing workflow, OIDC authentication, CI/CD.",cosign - authentication (keyless/OIDC),True,User is asking a question on looking for some guidance on how to implement cosign keyless image signing solution using Azure DevOps pipelin…,User asks how to do keyless image signing with Azure; seeks steps and constraints for Azure identity/provider integration.,True
51,sigstore/cosign,3343,"Cosign - Signing workflow, CI/CD",cosign core,True,user is asking for a feature enhancement to Add end-to-end testing for PKCS11 token signing. User says that currently the github actions te…,Internal task: add end-to-end testing for PKCS#11 token signing paths.,True
52,sigstore/cosign,3368,"Cosign - relase/installation, Verification workflow",cosign core,True,USer is asking if it is possible to skip installing TUF/The update framework and just verify signature with public-key. They describe that …,User asks if it’s possible to skip TUF; requests clarification on whether TUF is mandatory and how to disable/bypass it.,True
53,sigstore/cosign,3465,cosign,cosign core,True,User asks about how to use OtherName SAN attribute from the cosign sign command. this they said was referenced tbyt the fulcio documentatio…,User asks how to use OtherName SAN attribute in certificates; seeks guidance on mapping identity constraints/verification to OtherName SAN …,True
54,sigstore/cosign,3671,cosign - verififcation workflow,"cosign - CLI, cosign - documentation/help",True,user reports that following the documentation [for verifying signatures locally with certificates] he received an error that shows that the…,"User is confused because docs show cosign verify --certificate should work, but cosign errors requiring --certificate-identity/--certificat…",True
55,sigstore/cosign,3976,cosign - verififcation workflow,cosign core,True,user reports a bug in cosign verififcation; Intermediate cert and root CA must come in via same source for verify to succeed. They give rep…,User reports verification fails unless intermediate and root CA come from the same source; asks why mixed sources break verification and ho…,True
56,sigstore/cosign,4012,cosign - Authentication (OIDC),cosign - authentication (OIDC/provider),True,"User asks if Is it possible to use https://github.com/kanidm/kanidm as a SSO , provider. To which anadmin says that it should work if Kandi…",User asks whether Kanidm can be used as an identity/provider in cosign keyless flows; seeks compatibility guidance.,True
57,sigstore/cosign,4076,cosign,cosign core,True,"user reports an error; that Using replace option on `cosing attest`, an attestation with wrong mediatype is created, namely mediaType `appl…","User reports cosign attest --replace produces an attestation with the wrong media type, breaking downstream tools; asks why replace results…",True
58,sigstore/cosign,4098,"cosign - Private installation, verification workflow",cosign core,True,"User reports error while using a private Sigstore instance, in which I attempted to rotate the TSA certificate chain. When trying to verify…",User reports verifying after rotating TSA cert chain in a private Sigstore instance fails with TSA chain leaf-count error; asks how to hand…,True
59,sigstore/cosign,4204,cosign - CLI,cosign - CLI,True,user requested an enhancement to a recent support feature for OCI API. They saud this support was support was never added to `cosign tree`.…,"Feature request: cosign tree support for OCI 1.1 Referrers, aligning tree exploration with referrers-based artifact relationships.",True
60,sigstore/fulcio,238,Fulcio,fulcio core,True,user is asking questions about fulcio server which they installed via the docker-compose file. they create a CA integration at google but g…,User is confused after starting Fulcio via docker-compose and configuring a Google CA: Fulcio errors with malformed collection name; they s…,True
