category,chi2,dof,p_value,cramers_v,n_assignments,n_tools_with_data,test_status,min_expected,cells_expected_lt5,theme_family
5. Error prevention,21.551376915520983,7,0.003034292904052972,0.05700100495505207,6633,8,ok,4.85753052917232,1,Nielsen themes
8. Aesthetic and minimalist design,16.89235503020313,7,0.018103640236971315,0.05046497955061253,6633,8,ok,0.7327001356852103,3,Nielsen themes
3. User control and freedom,15.768646699597603,7,0.027316161773639453,0.048757587942479086,6633,8,ok,0.9701492537313433,2,Nielsen themes
2. Match between system and the real world,7.0287207860342535,7,0.4258956030290065,0.03255241001622388,6633,8,ok,2.7476255088195387,1,Nielsen themes
4. Consistency and standards,3.6117216115873743,7,0.8232542967819484,0.023334695352078983,6633,8,ok,5.502035278154681,0,Nielsen themes
Missing feature / enhancement request,273.262150369435,7,3.069984119994341e-55,0.2147742523399146,5924,8,ok,10.75,0,Primary themes (inductively generated)
Notification/Logging Issues,80.87348276548227,7,9.139278039834293e-15,0.1168410760979239,5924,8,ok,3.716407832545577,1,Primary themes (inductively generated)
Configuration friction,74.56444377557914,7,1.757978010681799e-13,0.11219108971004486,5924,8,ok,2.642133693450371,1,Primary themes (inductively generated)
Security concerns,70.60387778356825,7,1.1154089809169574e-12,0.10917086523549875,5924,8,ok,1.800135043889264,1,Primary themes (inductively generated)
User confusion / unclear documentation,66.33691083169538,7,8.096803699016816e-12,0.10582057007307245,5924,8,ok,7.127954085077651,0,Primary themes (inductively generated)
Unexpected behavior,62.47734262218993,7,4.823638875463363e-11,0.10269605237410954,5924,8,ok,5.1463538149898715,0,Primary themes (inductively generated)
Build/CI/installation/distribution release issues,55.20712010105558,7,1.3564559700713612e-09,0.09653616041095621,5924,8,ok,1.9743416610398379,1,Primary themes (inductively generated)
Tedious Workflows,44.3936602352931,7,1.7929427235519651e-07,0.08656711656887274,5924,8,ok,2.910702228224173,1,Primary themes (inductively generated)
Authentication friction,36.48390363785548,7,5.873516887600382e-06,0.07847713236024075,5924,8,ok,1.4444632005401756,1,Primary themes (inductively generated)
Integration failure/issues,22.72938526304859,7,0.00189971583619676,0.06194215634870743,5924,8,ok,4.783423362592843,1,Primary themes (inductively generated)
Performance issue,17.037266912299028,7,0.017157452267670324,0.05362810347972769,5924,8,ok,0.7040850776502363,3,Primary themes (inductively generated)
Functional Gap,185.80325928463853,7,1.157535097738131e-36,0.1890456790309395,5199,8,ok,11.023850740527024,0,Secondary themes (as coded field)
Functional Reliability,75.79686315036201,7,9.879084334954632e-14,0.12074404131967327,5199,8,ok,5.714752837084054,0,Secondary themes (as coded field)
Cognitive Friction,39.362755085998074,7,1.6664343918127757e-06,0.08701273812869488,5199,8,ok,8.41200230813618,0,Secondary themes (as coded field)
Operational Friction,17.727712086030838,7,0.01326081003282831,0.05839375940900764,5199,8,ok,11.84939411425274,0,Secondary themes (as coded field)
Functional Gap,273.262150369435,7,3.069984119994341e-55,0.2147742523399146,5924,8,ok,10.75,0,Secondary themes (inductively generated; mapped)
Cognitive Friction,63.20886959953332,7,3.4415720352975726e-11,0.10329552015154551,5924,8,ok,10.844361917623228,0,Secondary themes (inductively generated; mapped)
Operational Friction,58.556700170731595,7,2.9290401503205903e-10,0.09942160563430215,5924,8,ok,13.7550641458474,0,Secondary themes (inductively generated; mapped)
Functional Reliability,35.23779804663326,7,1.0090238949586812e-05,0.0771252981948621,5924,8,ok,7.650573936529372,0,Secondary themes (inductively generated; mapped)
