sample_id,phase12_subset,repo,issue_number,human_phase2_analyst_a,llm_usability_type,human_phase2_analyst_a_bin,llm_phase2_bin,human_phase2_label_source,agree,human_associated_component_theme,llm_associated_component_theme,metric,full_agree,partial_agree,human_l1_theme,llm_l1_theme,human_l1_theme_secondary,llm_l1_theme_secondary,human_nielsen_theme,llm_nielsen_theme
41,first_100,hashicorp/vault,18237,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
42,first_100,hashicorp/vault,18248,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
43,first_100,hashicorp/vault,18251,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
44,first_100,hashicorp/vault,18433,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
45,first_100,hashicorp/vault,18491,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
46,first_100,hashicorp/vault,18573,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
47,first_100,hashicorp/vault,19155,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
48,first_100,hashicorp/vault,19209,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
49,first_100,hashicorp/vault,19490,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
50,first_100,hashicorp/vault,19568,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
51,first_100,hashicorp/vault,19697,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
52,first_100,hashicorp/vault,20272,Usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
53,first_100,hashicorp/vault,20589,non-usability,usability,0.0,1.0,sample_analyst_a,0.0,,,,,,,,,,,
54,first_100,hashicorp/vault,21521,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
55,first_100,hashicorp/vault,21976,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
56,first_100,hashicorp/vault,22045,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
57,first_100,hashicorp/vault,22214,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
58,first_100,hashicorp/vault,22461,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
59,first_100,hashicorp/vault,22578,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
60,first_100,hashicorp/vault,22602,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
61,first_100,hashicorp/vault,23793,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
62,first_100,hashicorp/vault,23800,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
63,first_100,hashicorp/vault,23941,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
64,first_100,hashicorp/vault,24039,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
65,first_100,hashicorp/vault,24255,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
66,first_100,hashicorp/vault,24269,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
67,first_100,hashicorp/vault,24604,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
68,first_100,hashicorp/vault,24617,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
69,first_100,hashicorp/vault,24725,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
70,first_100,hashicorp/vault,24853,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
71,first_100,hashicorp/vault,24956,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
72,first_100,hashicorp/vault,25506,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
73,first_100,hashicorp/vault,26164,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
74,first_100,hashicorp/vault,26180,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
75,first_100,hashicorp/vault,27343,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
76,first_100,hashicorp/vault,27344,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
77,first_100,hashicorp/vault,27805,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
78,first_100,hashicorp/vault,27935,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
79,first_100,hashicorp/vault,28073,usability (the issue does not use the usual template but it describes the ),usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
80,first_100,hashicorp/vault,28457,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
81,first_100,hashicorp/vault,28738,non-usability,usability,0.0,1.0,sample_analyst_a,0.0,,,,,,,,,,,
82,first_100,hashicorp/vault,28792,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
83,first_100,hashicorp/vault,28993,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
84,first_100,hashicorp/vault,29033,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
85,first_100,hashicorp/vault,29099,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
86,first_100,hashicorp/vault,29101,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
87,first_100,hashicorp/vault,29179,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
88,first_100,hashicorp/vault,29287,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
89,first_100,hashicorp/vault,29362,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
90,first_100,hashicorp/vault,29417,"usability (user's body_text shows he cited another issue[https://github.com/hashicorp/vault/blob/04e75372fb30a4ec03645ca1de60bba54c2bc9dc/api/tokenhelper/helper_external.go#L23], meaning he hasread some form of guide)",usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
91,first_100,hashicorp/vault,29928,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
92,first_100,hashicorp/vault,30362,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
93,first_100,hashicorp/vault,30858,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
94,first_100,hashicorp/vault,31343,non-usability,usability,0.0,1.0,sample_analyst_a,0.0,,,,,,,,,,,
95,first_100,hashicorp/vault,31372,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
96,first_100,hashicorp/vault,31615,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
97,first_100,hashicorp/vault,31621,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
98,first_100,notaryproject/notation,211,usability,non-usability,1.0,0.0,sample_analyst_a,0.0,,,,,,,,,,,
99,first_100,notaryproject/notation,233,non-usability,non-usability,0.0,0.0,sample_analyst_a,1.0,,,,,,,,,,,
100,first_100,notaryproject/notation,320,usability,usability,1.0,1.0,sample_analyst_a,1.0,,,,,,,,,,,
101,first_100,notaryproject/notation,379,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
102,last_60,notaryproject/notation,383,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
103,last_60,notaryproject/notation,547,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
104,last_60,notaryproject/notation,574,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
105,last_60,notaryproject/notation,655,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
106,last_60,notaryproject/notation,659,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
107,last_60,notaryproject/notation,671,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
108,last_60,notaryproject/notation,829,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
109,last_60,notaryproject/notation,851,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
110,last_60,notaryproject/notation,880,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
111,last_60,notaryproject/notation,1012,usability,non-usability,1.0,0.0,human_issue_file,0.0,,,,,,,,,,,
112,last_60,notaryproject/notation,1239,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
113,last_60,openpubkey/openpubkey,4,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
114,last_60,openpubkey/openpubkey,61,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
115,last_60,openpubkey/openpubkey,100,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
116,last_60,openpubkey/openpubkey,137,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
117,last_60,openpubkey/openpubkey,157,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
118,last_60,openpubkey/openpubkey,226,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
119,last_60,openpubkey/openpubkey,254,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
120,last_60,sigstore/cosign,1048,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
121,last_60,sigstore/cosign,1215,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
122,last_60,sigstore/cosign,1288,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
123,last_60,sigstore/cosign,1321,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
124,last_60,sigstore/cosign,1323,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
125,last_60,sigstore/cosign,1385,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
126,last_60,sigstore/cosign,1443,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
127,last_60,sigstore/cosign,1554,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
128,last_60,sigstore/cosign,1642,usability,non-usability,1.0,0.0,human_issue_file,0.0,,,,,,,,,,,
129,last_60,sigstore/cosign,1653,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
130,last_60,sigstore/cosign,1655,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
131,last_60,sigstore/cosign,1847,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
132,last_60,sigstore/cosign,1853,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
133,last_60,sigstore/cosign,1994,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
134,last_60,sigstore/cosign,2053,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
135,last_60,sigstore/cosign,2068,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
136,last_60,sigstore/cosign,2097,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
137,last_60,sigstore/cosign,2382,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
138,last_60,sigstore/cosign,2419,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
139,last_60,sigstore/cosign,2462,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
140,last_60,sigstore/cosign,2516,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
141,last_60,sigstore/cosign,2518,usability,non-usability,1.0,0.0,human_issue_file,0.0,,,,,,,,,,,
142,last_60,sigstore/cosign,2568,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
143,last_60,sigstore/cosign,2593,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
144,last_60,sigstore/cosign,2832,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
145,last_60,sigstore/cosign,2858,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
146,last_60,sigstore/cosign,3025,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
147,last_60,sigstore/cosign,3235,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
148,last_60,sigstore/cosign,3260,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
149,last_60,sigstore/cosign,3330,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
150,last_60,sigstore/cosign,3340,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
151,last_60,sigstore/cosign,3343,usability,non-usability,1.0,0.0,human_issue_file,0.0,,,,,,,,,,,
152,last_60,sigstore/cosign,3368,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
153,last_60,sigstore/cosign,3465,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
154,last_60,sigstore/cosign,3671,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
155,last_60,sigstore/cosign,3976,usability,non-usability,1.0,0.0,human_issue_file,0.0,,,,,,,,,,,
156,last_60,sigstore/cosign,4012,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
157,last_60,sigstore/cosign,4076,non-usability,non-usability,0.0,0.0,human_issue_file,1.0,,,,,,,,,,,
158,last_60,sigstore/cosign,4098,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
159,last_60,sigstore/cosign,4204,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
160,last_60,sigstore/fulcio,238,usability,usability,1.0,1.0,human_issue_file,1.0,,,,,,,,,,,
102,phase3_sample,notaryproject/notation,383,,,,,,,"CLI tooling, Documentation","CLI tooling, Signing workflow, Verification workflow, Key Management Core / Secrets Backend",Associated Component Theme,0.0,1.0,,,,,,
103,phase3_sample,notaryproject/notation,547,,,,,,,"CLI tooling, Documentation","CLI tooling, Verification workflow, Policy/configuration, Notification/Logging",Associated Component Theme,0.0,1.0,,,,,,
104,phase3_sample,notaryproject/notation,574,,,,,,,CLI tooling,"CLI tooling, Signing workflow, Policy/configuration",Associated Component Theme,0.0,1.0,,,,,,
105,phase3_sample,notaryproject/notation,655,,,,,,,CLI tooling,"Core, CLI tooling, Signing workflow, Verification workflow",Associated Component Theme,0.0,1.0,,,,,,
106,phase3_sample,notaryproject/notation,659,,,,,,,CLI tooling,"CLI tooling, Signing workflow, Verification workflow, Policy/configuration, API",Associated Component Theme,0.0,1.0,,,,,,
108,phase3_sample,notaryproject/notation,829,,,,,,,CLI tooling,"CLI tooling, Signing workflow, Notification/Logging",Associated Component Theme,0.0,1.0,,,,,,
111,phase3_sample,notaryproject/notation,1012,,,,,,,"Verification workflow, documentation, Signing workflow",Core,Associated Component Theme,0.0,0.0,,,,,,
112,phase3_sample,notaryproject/notation,1239,,,,,,,Core,Core,Associated Component Theme,1.0,1.0,,,,,,
113,phase3_sample,openpubkey/openpubkey,4,,,,,,,"CLI tooling, Authentication/Authorization tools","Authentication/Authorization tools, Core, API",Associated Component Theme,0.0,1.0,,,,,,
171,phase3_sample,sigstore/rekor,872,,,,,,,Core,API,Associated Component Theme,0.0,0.0,,,,,,
173,phase3_sample,sigstore/rekor,929,,,,,,,Rekor CLI,"Core, CLI tooling, Authentication/Authorization tools",Associated Component Theme,0.0,0.0,,,,,,
174,phase3_sample,sigstore/rekor,1026,,,,,,,Signing workflow,"Core, Policy/configuration",Associated Component Theme,0.0,0.0,,,,,,
175,phase3_sample,sigstore/rekor,1173,,,,,,,Signing workflow,API,Associated Component Theme,0.0,0.0,,,,,,
176,phase3_sample,sigstore/rekor,1324,,,,,,,Core,Core,Associated Component Theme,1.0,1.0,,,,,,
177,phase3_sample,sigstore/rekor,1721,,,,,,,Core,Core,Associated Component Theme,1.0,1.0,,,,,,
178,phase3_sample,sigstore/rekor,1812,,,,,,,Core,API,Associated Component Theme,0.0,0.0,,,,,,
179,phase3_sample,sigstore/rekor,1899,,,,,,,"rekor cli, Verification workflow","CLI tooling, Verification workflow",Associated Component Theme,0.0,1.0,,,,,,
180,phase3_sample,sigstore/rekor,2062,,,,,,,"Signing workflow, Verification workflow",API,Associated Component Theme,0.0,0.0,,,,,,
102,phase3_sample,notaryproject/notation,383,,,,,,,,,L1_Theme,0.0,0.0,Improve documentation,"Missing feature / enhancement request, User confusion / unclear documentation",,,,
103,phase3_sample,notaryproject/notation,547,,,,,,,,,L1_Theme,0.0,0.0,"Unexplained Info, insufficient doc","Missing feature / enhancement request, User confusion / unclear documentation, Notification/Logging /Web UI Issues",,,,
104,phase3_sample,notaryproject/notation,574,,,,,,,,,L1_Theme,0.0,0.0,enhancing integration/compatibility with external registry(components/tools),"Missing feature / enhancement request, Integration failure/issues, Tedious Workflows",,,,
105,phase3_sample,notaryproject/notation,655,,,,,,,,,L1_Theme,1.0,1.0,"integration, enhancement request","Missing feature / enhancement request, Integration failure/issues",,,,
106,phase3_sample,notaryproject/notation,659,,,,,,,,,L1_Theme,0.0,0.0,integration with external component; Improving documentation,"Missing feature / enhancement request, Integration failure/issues, Tedious Workflows",,,,
108,phase3_sample,notaryproject/notation,829,,,,,,,,,L1_Theme,0.0,1.0,"tedious workflows, notification/logging","Missing feature / enhancement request, Notification/Logging /Web UI Issues, Tedious Workflows",,,,
111,phase3_sample,notaryproject/notation,1012,,,,,,,,,L1_Theme,0.0,0.0,documentation improvements,,,,,
112,phase3_sample,notaryproject/notation,1239,,,,,,,,,L1_Theme,0.0,1.0,user confusion,"User confusion / unclear documentation, Missing feature / enhancement request, Tedious Workflows",,,,
171,phase3_sample,sigstore/rekor,872,,,,,,,,,L1_Theme,0.0,0.0,notification/logging/alert,,,,,
173,phase3_sample,sigstore/rekor,929,,,,,,,,,L1_Theme,0.0,1.0,"user confusion/documentation, security","User confusion / unclear documentation, Security concerns",,,,
174,phase3_sample,sigstore/rekor,1026,,,,,,,,,L1_Theme,1.0,1.0,"integration issues, feature request","Missing feature / enhancement request, Integration failure/issues",,,,
175,phase3_sample,sigstore/rekor,1173,,,,,,,,,L1_Theme,0.0,1.0,"integration issues, tedious workflows","Missing feature / enhancement request, Tedious Workflows",,,,
176,phase3_sample,sigstore/rekor,1324,,,,,,,,,L1_Theme,0.0,0.0,"Integration issues, enhancement request",,,,,
177,phase3_sample,sigstore/rekor,1721,,,,,,,,,L1_Theme,0.0,0.0,"documentation, feature enhancement",,,,,
178,phase3_sample,sigstore/rekor,1812,,,,,,,,,L1_Theme,0.0,0.0,"integration issues(with openAPI's json tool), performance issues",,,,,
179,phase3_sample,sigstore/rekor,1899,,,,,,,,,L1_Theme,0.0,1.0,"user confusion, unexpected behaviour","Missing feature / enhancement request, User confusion / unclear documentation",,,,
180,phase3_sample,sigstore/rekor,2062,,,,,,,,,L1_Theme,0.0,0.0,"possible integration issues, security concerns, missing feature/enhancement request,",,,,,
102,phase3_sample,notaryproject/notation,383,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,"Cognitive Friction, Functional Gap",,
103,phase3_sample,notaryproject/notation,547,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,"Cognitive Friction, Functional Gap",,
104,phase3_sample,notaryproject/notation,574,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,"Operational Friction, Functional Gap",,
105,phase3_sample,notaryproject/notation,655,,,,,,,,,L1_Theme Secondary,1.0,1.0,,,,"Operational Friction, Functional Gap",,
106,phase3_sample,notaryproject/notation,659,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,"Functional Gap, Operational Friction",,
108,phase3_sample,notaryproject/notation,829,,,,,,,,,L1_Theme Secondary,0.0,1.0,,,,"Operational Friction, Cognitive Friction, Functional Gap",,
111,phase3_sample,notaryproject/notation,1012,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,,,
112,phase3_sample,notaryproject/notation,1239,,,,,,,,,L1_Theme Secondary,0.0,1.0,,,,"Cognitive Friction, Functional Gap, Operational Friction",,
171,phase3_sample,sigstore/rekor,872,,,,,,,,,L1_Theme Secondary,1.0,1.0,,,,,,
173,phase3_sample,sigstore/rekor,929,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,Cognitive Friction,,
174,phase3_sample,sigstore/rekor,1026,,,,,,,,,L1_Theme Secondary,1.0,1.0,,,,"Functional Gap, Operational Friction",,
175,phase3_sample,sigstore/rekor,1173,,,,,,,,,L1_Theme Secondary,0.0,1.0,,,,"Functional Gap, Operational Friction",,
176,phase3_sample,sigstore/rekor,1324,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,,,
177,phase3_sample,sigstore/rekor,1721,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,,,,
178,phase3_sample,sigstore/rekor,1812,,,,,,,,,L1_Theme Secondary,1.0,1.0,,,,,,
179,phase3_sample,sigstore/rekor,1899,,,,,,,,,L1_Theme Secondary,0.0,1.0,,,,"Functional Gap, Cognitive Friction",,
180,phase3_sample,sigstore/rekor,2062,,,,,,,,,L1_Theme Secondary,0.0,0.0,,,"operational friction, functional reliability",,,
102,phase3_sample,notaryproject/notation,383,,,,,,,,,Nielsen_theme,0.0,1.0,,,,,help and documentation,"6. Recognition rather than recall, 7. Flexibility and efficiency of use, 10. Help and documentation"
103,phase3_sample,notaryproject/notation,547,,,,,,,,,Nielsen_theme,0.0,1.0,,,,,"10. help and documentation, visibility of system status","2. Match between system and the real world, 6. Recognition rather than recall, 8. Aesthetic and minimalist design, '9. Help users recognize, diagnose, and recover from errors', 10. Help and documentation"
104,phase3_sample,notaryproject/notation,574,,,,,,,,,Nielsen_theme,0.0,1.0,,,,,flexibility and efficiency of use,"5. Error prevention, 6. Recognition rather than recall, 7. Flexibility and efficiency of use"
105,phase3_sample,notaryproject/notation,655,,,,,,,,,Nielsen_theme,1.0,1.0,,,,,flexibility and efficiency of use,7. Flexibility and efficiency of use
106,phase3_sample,notaryproject/notation,659,,,,,,,,,Nielsen_theme,0.0,1.0,,,,,"flexibility and efficiency of use, consistency and standards, help and documentations","4. Consistency and standards, 5. Error prevention, 7. Flexibility and efficiency of use, 10. Help and documentation"
108,phase3_sample,notaryproject/notation,829,,,,,,,,,Nielsen_theme,0.0,0.0,,,,,9. help users recognize ...errors. 7. flexibility and efficiency of use,"1. Visibility of system status, 6. Recognition rather than recall, 7. Flexibility and efficiency of use, '9. Help users recognize, diagnose, and recover from errors', 10. Help and documentation"
111,phase3_sample,notaryproject/notation,1012,,,,,,,,,Nielsen_theme,0.0,0.0,,,,,help and documentation,
