repo,issue_number,issue_url,created_at,comments_count,unique_participants,labels,label_primary,time_tercile,thread_bucket,rationale,title
hashicorp/vault,13246,https://github.com/hashicorp/vault/issues/13246,2021-11-23 07:08:42+00:00,0,0,"ecosystem, helmchart",ecosystem,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Error checking seal status
hashicorp/vault,13304,https://github.com/hashicorp/vault/issues/13304,2021-11-30 11:08:07+00:00,2,2,core/ha,core/ha,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/ha' present,Downgrade logging failed to acquire lock msg level from error to info/warning
hashicorp/vault,13305,https://github.com/hashicorp/vault/issues/13305,2021-11-30 14:35:24+00:00,5,2,storage/azure,storage/azure,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'storage/azure' present,Vault Azure backend storage not syncing 
hashicorp/vault,13319,https://github.com/hashicorp/vault/issues/13319,2021-12-01 16:26:41+00:00,1,1,core/policy,core/policy,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/policy' present,ACL Policies wildcard usage at odds with the Idiomatic Unix glob pattern usage
hashicorp/vault,13346,https://github.com/hashicorp/vault/issues/13346,2021-12-06 06:16:00+00:00,1,1,,,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads),how to hide 8200 port form fqdn or public ip
hashicorp/vault,13358,https://github.com/hashicorp/vault/issues/13358,2021-12-07 18:07:41+00:00,2,2,"auth/oidc, ecosystem",auth/oidc,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/oidc' present,help output is incorrect
hashicorp/vault,13364,https://github.com/hashicorp/vault/issues/13364,2021-12-08 09:28:30+00:00,2,2,"cryptosec, secret/pki",cryptosec,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'cryptosec' present,PKI: /sign-verbatim - key_usage and ext_key_usage request params are used as defaults instead of restrictions
hashicorp/vault,13388,https://github.com/hashicorp/vault/issues/13388,2021-12-10 09:55:19+00:00,4,4,"ecosystem, secret/database/postgresql",ecosystem,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,"Error with Postgresql Engine `row is too big: size 8480, maximum size 8160`"
hashicorp/vault,14225,https://github.com/hashicorp/vault/issues/14225,2022-02-23 15:18:44+00:00,7,4,"ecosystem, k8s",ecosystem,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Kubernetes 1.21 - Serviceregistration is not reloading the service account token
hashicorp/vault,14275,https://github.com/hashicorp/vault/issues/14275,2022-02-25 15:56:32+00:00,2,2,question,question,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'question' present,Getting Permission Denied for Userpass Token lookup
hashicorp/vault,14394,https://github.com/hashicorp/vault/issues/14394,2022-03-07 20:59:20+00:00,0,0,"bug, core, os/windows",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,vault debug on Windows results in panic
hashicorp/vault,15196,https://github.com/hashicorp/vault/issues/15196,2022-04-27 11:13:26+00:00,1,1,"bug, ui",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,"Web UI with policy to allow update of group membership gives ""Permission Denied"""
hashicorp/vault,15210,https://github.com/hashicorp/vault/issues/15210,2022-04-28 13:40:48+00:00,3,2,bug,bug,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'bug' present,Upgrading cluster to v1.9.4 fails
hashicorp/vault,15252,https://github.com/hashicorp/vault/issues/15252,2022-05-01 13:42:03+00:00,1,1,"bug, core/cli, good-first-issue",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,Issues with `vault operator generate-root` CLI help message
hashicorp/vault,15641,https://github.com/hashicorp/vault/issues/15641,2022-05-26 14:46:29+00:00,2,2,release/packaging,release/packaging,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'release/packaging' present,APT repository missing latest versions
hashicorp/vault,16151,https://github.com/hashicorp/vault/issues/16151,2022-06-27 13:40:19+00:00,5,5,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Vault create enormous goroutine and consume a lot memory which causing OOM 
hashicorp/vault,16158,https://github.com/hashicorp/vault/issues/16158,2022-06-27 17:43:34+00:00,2,2,"question, storage/raft",question,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'question' present,Bad interaction between Auto Unseal with Azure Key Vault + Integrated Storage
hashicorp/vault,16282,https://github.com/hashicorp/vault/issues/16282,2022-07-12 20:54:48+00:00,1,1,"auth/approle, core/api, devex, enhancement",auth/approle,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'auth/approle' present,Addition of creation of Vault App Roles through Go SDK
hashicorp/vault,16367,https://github.com/hashicorp/vault/issues/16367,2022-07-19 21:53:42+00:00,2,2,"cryptosec, enhancement, secret/transit",cryptosec,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'cryptosec' present,The transit secrets engine does not support RSA padding scheme pkcs1v15 for encryption.
hashicorp/vault,16424,https://github.com/hashicorp/vault/issues/16424,2022-07-22 15:12:20+00:00,7,4,question,question,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,Unable to install vault in Suse Linux Micro OS
hashicorp/vault,16529,https://github.com/hashicorp/vault/issues/16529,2022-08-02 15:55:24+00:00,1,1,"cryptosec, secret/pki, secret/transit",cryptosec,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'cryptosec' present,Digital signature endpoint for PKI engines
hashicorp/vault,16750,https://github.com/hashicorp/vault/issues/16750,2022-08-16 18:35:10+00:00,0,0,"auth/mfa, bug, core/identity",auth/mfa,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'auth/mfa' present,/identity/mfa/login-enforcement does not accept an array for identity_group_ids
hashicorp/vault,16820,https://github.com/hashicorp/vault/issues/16820,2022-08-22 19:21:05+00:00,0,0,"core/telemetry, enhancement",core/telemetry,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/telemetry' present,[Feature Request] Support Customizable Notifications for certain conditions
hashicorp/vault,17130,https://github.com/hashicorp/vault/issues/17130,2022-09-14 07:42:30+00:00,9,6,"auth/oidc, core/cli",auth/oidc,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'auth/oidc' present,vault cli doesn't listen on secure port during oidc login even when explicitly asked to do so
hashicorp/vault,17246,https://github.com/hashicorp/vault/issues/17246,2022-09-21 00:53:19+00:00,4,4,core/api,core/api,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/api' present,Error making API request - * permission denied
hashicorp/vault,17325,https://github.com/hashicorp/vault/issues/17325,2022-09-27 15:03:15+00:00,3,3,"ecosystem/plugin, enhancement, feature-request, ui",ecosystem/plugin,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,Feature UI Improvement: dynamic search and filter for Secret Engines list
hashicorp/vault,17475,https://github.com/hashicorp/vault/issues/17475,2022-10-10 15:41:27+00:00,2,2,"auth/jwt-oidc, enhancement, ui",auth/jwt-oidc,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/jwt-oidc' present,Support passthrough authentication in the vault UI
hashicorp/vault,17737,https://github.com/hashicorp/vault/issues/17737,2022-10-29 09:40:02+00:00,26,4,"bug, core/ha, storage/dynamodb",bug,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Huge regression: Upgrading HA DynamoDB backend based Vault cluster to 1.11.0 and upwards breaks functional cluster
hashicorp/vault,18151,https://github.com/hashicorp/vault/issues/18151,2022-11-30 10:35:08+00:00,9,3,question,question,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,"BUG: Too many arguments (expected 2, got 3)"
hashicorp/vault,18237,https://github.com/hashicorp/vault/issues/18237,2022-12-06 12:01:54+00:00,1,1,"ecosystem, secret/rabbitmq",ecosystem,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem' present,RabbitMQ engine should use Orphan tokens
hashicorp/vault,18248,https://github.com/hashicorp/vault/issues/18248,2022-12-06 21:09:43+00:00,2,2,storage/gcs,storage/gcs,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'storage/gcs' present,Object name too long on GCS data backend
hashicorp/vault,18251,https://github.com/hashicorp/vault/issues/18251,2022-12-07 05:54:27+00:00,6,3,core/replication,core/replication,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/replication' present,Issue with the vault cache in the secondary datacenter in multi-datacenter setup
hashicorp/vault,18433,https://github.com/hashicorp/vault/issues/18433,2022-12-16 07:31:32+00:00,2,2,agent,agent,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'agent' present,Vault injects missing variable as a variable with <no_value> string value
hashicorp/vault,18491,https://github.com/hashicorp/vault/issues/18491,2022-12-20 10:30:11+00:00,4,2,"ecosystem, k8s, ui",ecosystem,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Access vault web UI with TLS enabed + raft
hashicorp/vault,18573,https://github.com/hashicorp/vault/issues/18573,2022-12-30 04:15:00+00:00,2,1,"core/api, dependencies",core/api,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/api' present,HTTP 301 on wrong http address
hashicorp/vault,19155,https://github.com/hashicorp/vault/issues/19155,2023-02-11 09:20:03+00:00,1,1,ecosystem/plugin,ecosystem/plugin,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,[Plugin Portal] Plugin Submission - <PLUGIN NAME>
hashicorp/vault,19209,https://github.com/hashicorp/vault/issues/19209,2023-02-16 11:06:59+00:00,3,2,"auth/jwt-oidc, ecosystem, enhancement, feature-request",auth/jwt-oidc,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/jwt-oidc' present,Support Signing JSON object and providing JWKS url
hashicorp/vault,19490,https://github.com/hashicorp/vault/issues/19490,2023-03-09 12:49:54+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),Cannot create JWT role through cli - error message user claim must be defined but it gets provided
hashicorp/vault,19568,https://github.com/hashicorp/vault/issues/19568,2023-03-15 21:09:49+00:00,6,4,"bug, ui",bug,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Vault Browser CLI issues
hashicorp/vault,19697,https://github.com/hashicorp/vault/issues/19697,2023-03-23 12:07:53+00:00,0,0,"core/lease, feature-request",core/lease,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/lease' present,Lease since first use
hashicorp/vault,20272,https://github.com/hashicorp/vault/issues/20272,2023-04-20 09:25:39+00:00,2,2,"core/cli, enhancement",core/cli,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/cli' present,Support providing a different path for the internal token helper than ~/.vault-token (patch included)
hashicorp/vault,20589,https://github.com/hashicorp/vault/issues/20589,2023-05-15 16:04:28+00:00,2,2,,,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads),Vercel is blocking PR process
hashicorp/vault,21521,https://github.com/hashicorp/vault/issues/21521,2023-06-30 14:52:27+00:00,5,2,core/seal,core/seal,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/seal' present,"Keyring corrupted: unseal failed, invalid key"
hashicorp/vault,21976,https://github.com/hashicorp/vault/issues/21976,2023-07-20 17:00:49+00:00,2,2,ecosystem/plugin,ecosystem/plugin,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,`--args` in `vault plugin register` does not handle multiple arguments correctly when registering auth plugin. 
hashicorp/vault,22045,https://github.com/hashicorp/vault/issues/22045,2023-07-25 10:56:10+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),CI summary GitHub action fails on community PRs
hashicorp/vault,22214,https://github.com/hashicorp/vault/issues/22214,2023-08-05 09:56:45+00:00,3,3,question,question,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,JKS support in the Vault UI for easy management of the keystore
hashicorp/vault,22461,https://github.com/hashicorp/vault/issues/22461,2023-08-19 07:29:46+00:00,2,2,"auth/aws, core/auth",auth/aws,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/aws' present,Add Role ARN to AWS IAM Authentication Entity Alias Names.
hashicorp/vault,22578,https://github.com/hashicorp/vault/issues/22578,2023-08-27 06:24:04+00:00,8,2,core/seal,core/seal,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/seal' present,GCPCKMS method starts pods in a crashloop
hashicorp/vault,22602,https://github.com/hashicorp/vault/issues/22602,2023-08-29 11:09:52+00:00,1,1,"ecosystem, secret/aws",ecosystem,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem' present,AWS Secrets Engine - Root IAM credentials can't be rotated with the region parameter set and AWS credentials can't be generated without the region parameter set
hashicorp/vault,23793,https://github.com/hashicorp/vault/issues/23793,2023-10-23 17:23:22+00:00,2,2,"auth/k8s, storage/dynamodb",auth/k8s,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/k8s' present,Bug: failed to persist packed storage entry: ValidationException: Item size has exceeded the maximum allowed size
hashicorp/vault,23800,https://github.com/hashicorp/vault/issues/23800,2023-10-24 08:00:43+00:00,3,3,"auth/k8s, bug, ui",auth/k8s,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'auth/k8s' present,web UI can not list k8s roles
hashicorp/vault,23941,https://github.com/hashicorp/vault/issues/23941,2023-11-01 13:06:52+00:00,5,4,"core/policy, secret/kv, ui",core/policy,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/policy' present,UI - user can't delete secret
hashicorp/vault,24039,https://github.com/hashicorp/vault/issues/24039,2023-11-06 18:49:08+00:00,1,1,api-versioning,api-versioning,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'api-versioning' present,API: Endpoints change the error response format
hashicorp/vault,24255,https://github.com/hashicorp/vault/issues/24255,2023-11-27 11:53:02+00:00,0,0,"error-messages, feature-request",error-messages,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'error-messages' present,Error messages with more context
hashicorp/vault,24269,https://github.com/hashicorp/vault/issues/24269,2023-11-28 11:21:05+00:00,3,3,core/seal,core/seal,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/seal' present,alicloud kms deprecated in favour of dedicated kms 
hashicorp/vault,24604,https://github.com/hashicorp/vault/issues/24604,2023-12-20 20:14:10+00:00,0,0,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),"""publishNotReadyAddresses: false"" Prevents new vault nodes from joining raft."
hashicorp/vault,24617,https://github.com/hashicorp/vault/issues/24617,2023-12-21 03:34:06+00:00,0,0,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),Vault uses mysql and restarts regularly
hashicorp/vault,24725,https://github.com/hashicorp/vault/issues/24725,2024-01-09 15:11:28+00:00,0,0,,,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads),Incorrect processing of sinks `aad_env_var` with proxy/agent
hashicorp/vault,24853,https://github.com/hashicorp/vault/issues/24853,2024-01-13 20:50:08+00:00,1,1,,,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads),"Allow multiple aliases for the same (entity, mount_accessor) tuple"
hashicorp/vault,24956,https://github.com/hashicorp/vault/issues/24956,2024-01-19 14:11:10+00:00,0,0,,,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads),Tailscale Auth Method
hashicorp/vault,25506,https://github.com/hashicorp/vault/issues/25506,2024-02-19 09:31:55+00:00,1,1,"core/cli, secret/kv",core/cli,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/cli' present,Vault CLI KV2 undelete still fails for multi-level paths
hashicorp/vault,26164,https://github.com/hashicorp/vault/issues/26164,2024-03-26 17:20:01+00:00,0,0,auth/approle,auth/approle,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'auth/approle' present,approle user_lockout_duration doesn't work
hashicorp/vault,26180,https://github.com/hashicorp/vault/issues/26180,2024-03-27 15:48:49+00:00,8,4,core,core,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core' present,GET /sys/mounts/:path is presenting unexpected errors
hashicorp/vault,27343,https://github.com/hashicorp/vault/issues/27343,2024-06-04 09:36:31+00:00,19,10,"auth/jwt-oidc, bug",auth/jwt-oidc,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'auth/jwt-oidc' present,JWT authentication checks bound_audiences despite bound_claims is defined in v1.16.3
hashicorp/vault,27344,https://github.com/hashicorp/vault/issues/27344,2024-06-04 10:58:46+00:00,0,0,"core, core/ha, storage/raft",core,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core' present,New nodes cannot join to existing cluster
hashicorp/vault,27805,https://github.com/hashicorp/vault/issues/27805,2024-07-18 03:59:36+00:00,0,0,"enhancement, secret/database",enhancement,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'enhancement' present,Add support for private keys for database authentication to use passphrases
hashicorp/vault,27935,https://github.com/hashicorp/vault/issues/27935,2024-08-01 12:49:39+00:00,5,2,"dependencies, release/packaging",dependencies,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'dependencies' present,Packaging switch from valid `simple` unit to `notify` unit results in abandoned processes.
hashicorp/vault,28073,https://github.com/hashicorp/vault/issues/28073,2024-08-14 06:09:58+00:00,4,2,"auth/okta, core/auth, feature-request",auth/okta,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'auth/okta' present,"Unseal Vault using Android, or Iphone - Vault App"
hashicorp/vault,28457,https://github.com/hashicorp/vault/issues/28457,2024-09-20 07:02:59+00:00,1,1,,,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads),Adding Elestio as deployment option
hashicorp/vault,28738,https://github.com/hashicorp/vault/issues/28738,2024-10-21 09:38:22+00:00,6,2,"secret/database, waiting-for-response",secret/database,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'secret/database' present,Vault executing revocation statements before postgresql credentials expiry 
hashicorp/vault,28792,https://github.com/hashicorp/vault/issues/28792,2024-10-29 14:13:41+00:00,3,2,"core/token, reproduced",core/token,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/token' present,Vault api sending multiple errors as a single string in json
hashicorp/vault,28993,https://github.com/hashicorp/vault/issues/28993,2024-11-22 16:42:51+00:00,3,2,"core/policy, question",core/policy,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/policy' present,VAULT login Method OIDC : default path
hashicorp/vault,29033,https://github.com/hashicorp/vault/issues/29033,2024-11-26 22:09:21+00:00,5,3,"core/ha, question",core/ha,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/ha' present,"Leader unresponsive, unavailable"
hashicorp/vault,29099,https://github.com/hashicorp/vault/issues/29099,2024-12-05 02:50:35+00:00,6,2,,,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads),Cannot configure working HTTPS Vault installation? Vault program broken (vs. lack of documentation)?
hashicorp/vault,29101,https://github.com/hashicorp/vault/issues/29101,2024-12-05 11:31:36+00:00,3,2,"feature-request, ui",feature-request,late,long,time-stratum: late (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'feature-request' present,Please make namespaces navigation more user friendly
hashicorp/vault,29179,https://github.com/hashicorp/vault/issues/29179,2024-12-13 11:10:59+00:00,1,1,"agent, bug",agent,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'agent' present,Vault agent randomly fails to authenticate 
hashicorp/vault,29287,https://github.com/hashicorp/vault/issues/29287,2025-01-06 14:24:48+00:00,1,1,secret/kv,secret/kv,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'secret/kv' present,Conditional policies
hashicorp/vault,29362,https://github.com/hashicorp/vault/issues/29362,2025-01-16 13:54:06+00:00,2,2,secret/pki,secret/pki,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'secret/pki' present,The Generate root API doesn't consider changes of field `key_usage`
hashicorp/vault,29417,https://github.com/hashicorp/vault/issues/29417,2025-01-24 23:37:34+00:00,0,0,"bug, release/build",bug,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,Using a shell to exec the `token_helper` is unreliable
hashicorp/vault,29928,https://github.com/hashicorp/vault/issues/29928,2025-03-14 16:13:17+00:00,0,0,secret/pki,secret/pki,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'secret/pki' present,PKI sign not_after can exceed max_ttl
hashicorp/vault,30362,https://github.com/hashicorp/vault/issues/30362,2025-04-24 07:06:01+00:00,1,1,"enhancement, secret/pki",enhancement,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'enhancement' present,Limit PKI role to allow hostnames without domain part (shortname) as SAN
hashicorp/vault,30858,https://github.com/hashicorp/vault/issues/30858,2025-06-05 10:44:24+00:00,1,1,"docs, tls",docs,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'docs' present,Docs: Improve tcp-tls docs regarding tls ciphers
hashicorp/vault,31343,https://github.com/hashicorp/vault/issues/31343,2025-07-21 18:34:38+00:00,0,0,"core/seal, enhancement",core/seal,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/seal' present,IBMCloud Auto Unseal
hashicorp/vault,31372,https://github.com/hashicorp/vault/issues/31372,2025-07-24 22:04:56+00:00,0,0,"bug, storage/raft",bug,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,Can't use AWS auto-join in me-central-1 region since v1.20.0
hashicorp/vault,31615,https://github.com/hashicorp/vault/issues/31615,2025-10-30 16:49:59+00:00,0,0,core/telemetry,core/telemetry,late,short,time-stratum: late (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/telemetry' present,operator diagnose reports incorrect error for telemetry configuration
hashicorp/vault,31621,https://github.com/hashicorp/vault/issues/31621,2025-10-31 22:58:05+00:00,1,1,sdk,sdk,late,medium,time-stratum: late (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'sdk' present,SDK: framework.TypeKVPairs only handles one KV pair.
notaryproject/notation,211,https://github.com/notaryproject/notation/issues/211,2022-06-28 07:02:17+00:00,8,3,bug,bug,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,notation auth to CNCF ORAS registry
