sample_id,phase12_subset,repo,issue_number,human_associated_component,llm_associated_component,human_associated_component_semantic,llm_associated_component_semantic,full_agree,partial_agree,code_primary_semantic_agree
63,first_100,hashicorp/vault,23941,"Hash Vault-Web client/UI, Policy","Hashicorp Vault - Web Client, Hashicorp Vault - Key Management Core (secret engine)","cli, policy_configuration, web_client","cli, key_management_or_ca, web_client",0,1,yes
64,first_100,hashicorp/vault,24039,HAsh vault- API,"Vault core, API",api,"api, core",0,1,yes
65,first_100,hashicorp/vault,24255,Hash Vault,"Hashicorp Vault core, API",hash,"api, core",0,0,yes
66,first_100,hashicorp/vault,24269,Hash Vault,Hashicorp Vault core,hash,core,0,0,yes
67,first_100,hashicorp/vault,24604,Hash vault,"Hashicorp Vault core, Hashicorp Vault Helm chart",hash,"core, helm chart",0,0,yes
68,first_100,hashicorp/vault,24617,hash corp vault,"Hashicorp Vault core, Authentication (Kubernetes auth), Storage backend",hash corp,"authentication_authorization, core, key_management_or_ca, storage backend",0,0,yes
69,first_100,hashicorp/vault,24725,hash corp vault,"Hashicorp Vault core, CLI tooling",hash corp,"cli, core",0,0,yes
70,first_100,hashicorp/vault,24853,hash vault - authentication,"hashicorp vault core, Authentication/Authorization","authentication_authorization, key_management_or_ca","authentication_authorization, core, key_management_or_ca",0,1,yes
71,first_100,hashicorp/vault,24956,hash vault - authentication,Hashicorp Vault - Authentication/Authorization,"authentication_authorization, key_management_or_ca","authentication_authorization, key_management_or_ca",1,1,yes
72,first_100,hashicorp/vault,25506,Hash Vault - CLI,Vault CLI,cli,cli,1,1,yes
73,first_100,hashicorp/vault,26164,hash Vault - Authentication/Authorization,"Hashicorp Vault core, Authentication (AppRole), CLI","authentication_authorization, key_management_or_ca","authentication_authorization, cli, core, key_management_or_ca",0,1,yes
74,first_100,hashicorp/vault,26180,Hash Vault - API,"Hashicorp Vault core, API",api,"api, core",0,1,yes
75,first_100,hashicorp/vault,27343,hash Vault- OIDC/Authentication,"Hashicorp Vault core - Authentication (JWT auth method), Hashicorp Vault core - Web UI","authentication_authorization, key_management_or_ca","authentication_authorization, cli, key_management_or_ca, web_client",0,1,no
76,first_100,hashicorp/vault,27344,hash vault,Hashicorp Vault core,hash,core,0,0,yes
77,first_100,hashicorp/vault,27805,"Hash Vault-Authentication, Secretc engine/database",Hashicorp Vault - Key Management Core (secret engine),"authentication_authorization, key_management_or_ca",key_management_or_ca,0,1,yes
78,first_100,hashicorp/vault,27935,"hash vault-notification, packaging",Hashicorp Vault core,"key_management_or_ca, notification_logging, packaging",core,0,0,yes
79,first_100,hashicorp/vault,28073,hash vault-authentication,"Hashicorp Vault core, API","authentication_authorization, key_management_or_ca","api, core",0,0,no
80,first_100,hashicorp/vault,28457,hash Vault,hashicorp vault core,hash,core,0,0,yes
81,first_100,hashicorp/vault,28738,hash vault,"Hashicorp Vault core, Key Management Core / Secrets Backend",hash,"core, key_management_or_ca",0,0,yes
82,first_100,hashicorp/vault,28792,hash vault-API,"hashicorp vault core, API, CLI",api,"api, cli, core",0,1,yes
83,first_100,hashicorp/vault,28993,"hash vault-Auth/OIDC,Policy","Hashicorp Vault - Web Client, Hashicorp Vault - Authentication/Authorization, Hashicorp Vault - Key Management Core (secret engine)","authentication_authorization, policy_configuration","authentication_authorization, cli, key_management_or_ca, web_client",0,1,yes
84,first_100,hashicorp/vault,29033,hash Vault,"Hashicorp Vault core, Notification/Logging",hash,"core, key_management_or_ca, notification_logging",0,0,yes
85,first_100,hashicorp/vault,29099,Hash Vault,"Hashicorp Vault core, CLI tooling, Web Client, Notification/Logging",hash,"cli, core, key_management_or_ca, notification_logging, web_client",0,0,yes
86,first_100,hashicorp/vault,29101,hash vault-Web client/UI,Hashicorp Vault - Web Client,"cli, web_client","cli, web_client",1,1,yes
87,first_100,hashicorp/vault,29179,hash vault-Agent,Vault core,hash agent,core,0,0,yes
88,first_100,hashicorp/vault,29287,Hash vault-authorization,"Hashicorp Vault - Key Management Core (secret engine), Hashicorp Vault - Authentication/Authorization",authentication_authorization,"authentication_authorization, key_management_or_ca",0,1,yes
89,first_100,hashicorp/vault,29362,Hash Vault-API,"Hashicorp Vault - Key Management Core (secret engine), Hashicorp Vault - API",api,"api, key_management_or_ca",0,1,yes
90,first_100,hashicorp/vault,29417,hash Vault-CLi,Vault CLI,cli,cli,1,1,yes
91,first_100,hashicorp/vault,29928,Hash Vault-API,"Hashicorp Vault - Key Management Core (secret engine), Hashicorp Vault - API, Hashicorp Vault - CLI",api,"api, cli, key_management_or_ca",0,1,yes
92,first_100,hashicorp/vault,30362,hash vault-secret enginee,"Hashicorp Vault - Key Management Core (secret engine), API",key_management_or_ca,"api, key_management_or_ca",0,1,yes
93,first_100,hashicorp/vault,30858,Hash Vault- Documentation,Hashicorp Vault core,hash doc,core,0,0,yes
94,first_100,hashicorp/vault,31343,Hash Vault,Vault core,hash,core,0,0,yes
95,first_100,hashicorp/vault,31372,Hash corp Vault,Hashicorp Vault core,hash corp,core,0,0,no
96,first_100,hashicorp/vault,31615,Hash VAult- Telemetry,CLI tooling,hash telemetry,cli,0,0,yes
97,first_100,hashicorp/vault,31621,Hash Vault-sdk framework,"hashicorp vault core, API",hash sdk framework,"api, core",0,0,yes
98,first_100,notaryproject/notation,211,Notation -Authentication,notation CLI,"authentication_authorization, key_management_or_ca",cli,0,0,yes
99,first_100,notaryproject/notation,233,Notation- CLI,"notation core, CLI",cli,"cli, core",0,1,yes
100,first_100,notaryproject/notation,320,notation,"CLI tooling, Key Management Core / Secrets Backend",core,"cli, key_management_or_ca",0,0,yes
101,first_100,notaryproject/notation,379,Notation core,notation CLI core,core,cli,0,0,no
