sample_id,repo,issue_number,code_primary_semantic_agree,judge_raw_json
48,hashicorp/vault,19209,yes,"{""code_primary_semantic_agree"": true}"
49,hashicorp/vault,19490,yes,"{""code_primary_semantic_agree"": true}"
50,hashicorp/vault,19568,yes,"{""code_primary_semantic_agree"": true}"
51,hashicorp/vault,19697,no,"{""code_primary_semantic_agree"": false}"
52,hashicorp/vault,20272,yes,"{""code_primary_semantic_agree"": true}"
53,hashicorp/vault,20589,yes,"{""code_primary_semantic_agree"": true}"
54,hashicorp/vault,21521,yes,"{""code_primary_semantic_agree"": true}"
55,hashicorp/vault,21976,yes,"{""code_primary_semantic_agree"": true}"
56,hashicorp/vault,22045,yes,"{""code_primary_semantic_agree"": true}"
57,hashicorp/vault,22214,yes,"{""code_primary_semantic_agree"": true}"
58,hashicorp/vault,22461,yes,"{""code_primary_semantic_agree"": true}"
59,hashicorp/vault,22578,yes,"{""code_primary_semantic_agree"": true}"
60,hashicorp/vault,22602,yes,"{""code_primary_semantic_agree"": true}"
61,hashicorp/vault,23793,no,"{""code_primary_semantic_agree"": false}"
62,hashicorp/vault,23800,yes,"{""code_primary_semantic_agree"": true}"
63,hashicorp/vault,23941,yes,"{""code_primary_semantic_agree"": true}"
64,hashicorp/vault,24039,yes,"{""code_primary_semantic_agree"": true}"
65,hashicorp/vault,24255,yes,"{""code_primary_semantic_agree"": true}"
66,hashicorp/vault,24269,yes,"{""code_primary_semantic_agree"": true}"
67,hashicorp/vault,24604,yes,"{""code_primary_semantic_agree"": true}"
68,hashicorp/vault,24617,yes,"{""code_primary_semantic_agree"": true}"
69,hashicorp/vault,24725,yes,"{""code_primary_semantic_agree"": true}"
70,hashicorp/vault,24853,yes,"{""code_primary_semantic_agree"": true}"
71,hashicorp/vault,24956,yes,"{""code_primary_semantic_agree"": true}"
72,hashicorp/vault,25506,yes,"{""code_primary_semantic_agree"": true}"
73,hashicorp/vault,26164,yes,"{""code_primary_semantic_agree"": true}"
74,hashicorp/vault,26180,yes,"{""code_primary_semantic_agree"": true}"
75,hashicorp/vault,27343,no,"{""code_primary_semantic_agree"": false}"
76,hashicorp/vault,27344,yes,"{""code_primary_semantic_agree"": true}"
77,hashicorp/vault,27805,yes,"{""code_primary_semantic_agree"": true}"
78,hashicorp/vault,27935,yes,"{""code_primary_semantic_agree"": true}"
79,hashicorp/vault,28073,no,"{""code_primary_semantic_agree"": false}"
80,hashicorp/vault,28457,yes,"{""code_primary_semantic_agree"": true}"
81,hashicorp/vault,28738,yes,"{""code_primary_semantic_agree"": true}"
82,hashicorp/vault,28792,yes,"{""code_primary_semantic_agree"": true}"
83,hashicorp/vault,28993,yes,"{""code_primary_semantic_agree"": true}"
84,hashicorp/vault,29033,yes,"{""code_primary_semantic_agree"": true}"
85,hashicorp/vault,29099,yes,"{""code_primary_semantic_agree"": true}"
86,hashicorp/vault,29101,yes,"{""code_primary_semantic_agree"": true}"
87,hashicorp/vault,29179,yes,"{""code_primary_semantic_agree"": true}"
88,hashicorp/vault,29287,yes,"{""code_primary_semantic_agree"": true}"
89,hashicorp/vault,29362,yes,"{""code_primary_semantic_agree"": true}"
90,hashicorp/vault,29417,yes,"{""code_primary_semantic_agree"": true}"
91,hashicorp/vault,29928,yes,"{""code_primary_semantic_agree"": true}"
92,hashicorp/vault,30362,yes,"{""code_primary_semantic_agree"": true}"
93,hashicorp/vault,30858,yes,"{""code_primary_semantic_agree"": true}"
94,hashicorp/vault,31343,yes,"{""code_primary_semantic_agree"": true}"
95,hashicorp/vault,31372,no,"{""code_primary_semantic_agree"": false}"
96,hashicorp/vault,31615,yes,"{""code_primary_semantic_agree"": true}"
97,hashicorp/vault,31621,yes,"{""code_primary_semantic_agree"": true}"
98,notaryproject/notation,211,yes,"{""code_primary_semantic_agree"": true}"
99,notaryproject/notation,233,yes,"{""code_primary_semantic_agree"": true}"
100,notaryproject/notation,320,yes,"{""code_primary_semantic_agree"": true}"
101,notaryproject/notation,379,no,"{""code_primary_semantic_agree"": false}"
