tool,count_in_category,total_assignments_in_family,share_pct,rank_within_category,theme_family,category
sigstore/rekor,33,322,10.248447204968944,5,Primary themes (inductively generated),Integration failure/issues
Keyfactor/signserver-ce,4,43,9.30232558139535,6,Primary themes (inductively generated),Integration failure/issues
notaryproject/notation,35,475,7.368421052631578,7,Primary themes (inductively generated),Integration failure/issues
openpubkey/openpubkey,11,150,7.333333333333333,8,Primary themes (inductively generated),Integration failure/issues
notaryproject/notation,48,475,10.105263157894736,1,Primary themes (inductively generated),Tedious Workflows
hashicorp/vault,231,2941,7.854471268276096,2,Primary themes (inductively generated),Tedious Workflows
sigstore/cosign,92,1407,6.538734896943852,3,Primary themes (inductively generated),Tedious Workflows
sigstore/rekor,13,322,4.037267080745342,4,Primary themes (inductively generated),Tedious Workflows
sigstore/fulcio,8,280,2.857142857142857,5,Primary themes (inductively generated),Tedious Workflows
openpubkey/openpubkey,4,150,2.666666666666667,6,Primary themes (inductively generated),Tedious Workflows
Keyfactor/signserver-ce,1,43,2.3255813953488373,7,Primary themes (inductively generated),Tedious Workflows
Keyfactor/ejbca-ce,4,306,1.3071895424836601,8,Primary themes (inductively generated),Tedious Workflows
Keyfactor/signserver-ce,13,43,30.23255813953488,1,Primary themes (inductively generated),User confusion / unclear documentation
Keyfactor/ejbca-ce,84,306,27.450980392156865,2,Primary themes (inductively generated),User confusion / unclear documentation
sigstore/cosign,260,1407,18.47903340440654,3,Primary themes (inductively generated),User confusion / unclear documentation
sigstore/rekor,54,322,16.77018633540373,4,Primary themes (inductively generated),User confusion / unclear documentation
hashicorp/vault,482,2941,16.38898333900034,5,Primary themes (inductively generated),User confusion / unclear documentation
sigstore/fulcio,32,280,11.428571428571429,6,Primary themes (inductively generated),User confusion / unclear documentation
openpubkey/openpubkey,15,150,10.0,7,Primary themes (inductively generated),User confusion / unclear documentation
notaryproject/notation,42,475,8.842105263157894,8,Primary themes (inductively generated),User confusion / unclear documentation
notaryproject/notation,60,475,12.631578947368421,1,Primary themes (inductively generated),Notification/Logging Issues
hashicorp/vault,327,2941,11.118667120027203,2,Primary themes (inductively generated),Notification/Logging Issues
Keyfactor/ejbca-ce,26,306,8.49673202614379,3,Primary themes (inductively generated),Notification/Logging Issues
Keyfactor/signserver-ce,3,43,6.976744186046512,4,Primary themes (inductively generated),Notification/Logging Issues
sigstore/rekor,16,322,4.968944099378882,5,Primary themes (inductively generated),Notification/Logging Issues
sigstore/cosign,62,1407,4.4065387348969445,6,Primary themes (inductively generated),Notification/Logging Issues
sigstore/fulcio,12,280,4.285714285714286,7,Primary themes (inductively generated),Notification/Logging Issues
openpubkey/openpubkey,6,150,4.0,8,Primary themes (inductively generated),Notification/Logging Issues
hashicorp/vault,443,2941,15.062903774226456,1,Primary themes (inductively generated),Unexpected behavior
Keyfactor/ejbca-ce,34,306,11.11111111111111,2,Primary themes (inductively generated),Unexpected behavior
sigstore/rekor,33,322,10.248447204968944,3,Primary themes (inductively generated),Unexpected behavior
sigstore/cosign,139,1407,9.879175550817342,4,Primary themes (inductively generated),Unexpected behavior
sigstore/fulcio,19,280,6.785714285714286,5,Primary themes (inductively generated),Unexpected behavior
notaryproject/notation,30,475,6.315789473684211,6,Primary themes (inductively generated),Unexpected behavior
openpubkey/openpubkey,9,150,6.0,7,Primary themes (inductively generated),Unexpected behavior
Keyfactor/signserver-ce,2,43,4.651162790697675,8,Primary themes (inductively generated),Unexpected behavior
sigstore/rekor,12,322,3.7267080745341614,1,Primary themes (inductively generated),Performance issue
Keyfactor/signserver-ce,1,43,2.3255813953488373,2,Primary themes (inductively generated),Performance issue
hashicorp/vault,56,2941,1.9041142468548113,3,Primary themes (inductively generated),Performance issue
notaryproject/notation,8,475,1.6842105263157894,4,Primary themes (inductively generated),Performance issue
sigstore/fulcio,3,280,1.0714285714285714,5,Primary themes (inductively generated),Performance issue
sigstore/cosign,14,1407,0.9950248756218906,6,Primary themes (inductively generated),Performance issue
openpubkey/openpubkey,1,150,0.6666666666666667,7,Primary themes (inductively generated),Performance issue
Keyfactor/ejbca-ce,2,306,0.6535947712418301,8,Primary themes (inductively generated),Performance issue
sigstore/fulcio,31,280,11.071428571428571,1,Primary themes (inductively generated),Security concerns
openpubkey/openpubkey,16,150,10.666666666666668,2,Primary themes (inductively generated),Security concerns
sigstore/rekor,21,322,6.521739130434782,3,Primary themes (inductively generated),Security concerns
sigstore/cosign,68,1407,4.832977967306325,4,Primary themes (inductively generated),Security concerns
notaryproject/notation,17,475,3.578947368421052,5,Primary themes (inductively generated),Security concerns
hashicorp/vault,89,2941,3.026181570894254,6,Primary themes (inductively generated),Security concerns
Keyfactor/ejbca-ce,6,306,1.9607843137254901,7,Primary themes (inductively generated),Security concerns
Keyfactor/signserver-ce,0,43,0.0,8,Primary themes (inductively generated),Security concerns
openpubkey/openpubkey,73,150,48.66666666666667,1,Primary themes (inductively generated),Missing feature / enhancement request
sigstore/fulcio,109,280,38.92857142857143,2,Primary themes (inductively generated),Missing feature / enhancement request
notaryproject/notation,184,475,38.73684210526316,3,Primary themes (inductively generated),Missing feature / enhancement request
sigstore/rekor,119,322,36.95652173913043,4,Primary themes (inductively generated),Missing feature / enhancement request
sigstore/cosign,413,1407,29.35323383084577,5,Primary themes (inductively generated),Missing feature / enhancement request
hashicorp/vault,555,2941,18.871132267936076,6,Primary themes (inductively generated),Missing feature / enhancement request
Keyfactor/signserver-ce,5,43,11.627906976744185,7,Primary themes (inductively generated),Missing feature / enhancement request
Keyfactor/ejbca-ce,23,306,7.516339869281046,8,Primary themes (inductively generated),Missing feature / enhancement request
