repo,issue_number,issue_url,created_at,comments_count,unique_participants,labels,label_primary,time_tercile,thread_bucket,rationale,title,Associated Components,Codes Primary,Agreement_ Associated component (ANAlysts A nad B),Agreement code Primary (Analysts A & B),Unnamed: 16,ACC Associated Components,ACC Codes Primary,Usability_Non-Usability Type- Analyst B (1- usability; 0-non-usability),Usability_Non-Usability Type- Analyst A,Agreement,Usability_agreed,Usability Theme,sample_id,Usability_Non-Usability Type- Analyst A source,Validation usability label,Validation usability label source
hashicorp/vault,13243,https://github.com/hashicorp/vault/issues/13243,2021-11-22 23:51:51+00:00,7,4,"cryptosec, enhancement, secret/transit",cryptosec,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'cryptosec' present,Transit: Support algorithms with large nonces,hashicorp-vault - Algorithms,Some algorithms are not supported in the current version,1.0,1.0,,,,0(1),Usability,0.0,Non-usability,,11,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,13246,https://github.com/hashicorp/vault/issues/13246,2021-11-23 07:08:42+00:00,0,0,"ecosystem, helmchart",ecosystem,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Error checking seal status,hashicorp-vault - vault,"The vault is not able to initialize, which is an error",1.0,1.0,,,,1,usability,1.0,Usability,,12,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13304,https://github.com/hashicorp/vault/issues/13304,2021-11-30 11:08:07+00:00,2,2,core/ha,core/ha,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/ha' present,Downgrade logging failed to acquire lock msg level from error to info/warning,hashicorp-vault - log/ha,Log files register  misrepresented information when ha is enabled,1.0,1.0,,,,1,usability,1.0,Usability,,13,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13305,https://github.com/hashicorp/vault/issues/13305,2021-11-30 14:35:24+00:00,5,2,storage/azure,storage/azure,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'storage/azure' present,Vault Azure backend storage not syncing ,hashicorp-vault - storage,The storage container is not sync with vault data.,1.0,1.0,,,,1,usability,1.0,Usability,,14,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13319,https://github.com/hashicorp/vault/issues/13319,2021-12-01 16:26:41+00:00,1,1,core/policy,core/policy,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/policy' present,ACL Policies wildcard usage at odds with the Idiomatic Unix glob pattern usage,hashicorp-vault - regrex,The usage of regrex is not convention ,0.0,1.0,,,,1,usability,1.0,Usability,,15,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13346,https://github.com/hashicorp/vault/issues/13346,2021-12-06 06:16:00+00:00,1,1,,,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads),how to hide 8200 port form fqdn or public ip,hashicorp-vault - port,Port number cannot be hidden ,1.0,1.0,,,,1,usability,1.0,Usability,,16,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13358,https://github.com/hashicorp/vault/issues/13358,2021-12-07 18:07:41+00:00,2,2,"auth/oidc, ecosystem",auth/oidc,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/oidc' present,help output is incorrect,hashicorp-vault - output,The output does not report the neccessary information and is clarified in the documentation,0.0,1.0,,,,1,usability,1.0,Usability,,17,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13364,https://github.com/hashicorp/vault/issues/13364,2021-12-08 09:28:30+00:00,2,2,"cryptosec, secret/pki",cryptosec,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'cryptosec' present,PKI: /sign-verbatim - key_usage and ext_key_usage request params are used as defaults instead of restrictions,hashicorp-vault,"The values of ""Key Usage"" and ""Extended Key Usage"" returned error with certificate in CSR",1.0,1.0,,,,1,Usability,1.0,Usability,,18,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,13388,https://github.com/hashicorp/vault/issues/13388,2021-12-10 09:55:19+00:00,4,4,"ecosystem, secret/database/postgresql",ecosystem,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,"Error with Postgresql Engine `row is too big: size 8480, maximum size 8160`",hashicorp-vault - database,There is a limitations in gratning permission in the database,1.0,1.0,,,,0(1),usability,0.0,Non-usability,,19,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,14225,https://github.com/hashicorp/vault/issues/14225,2022-02-23 15:18:44+00:00,7,4,"ecosystem, k8s",ecosystem,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Kubernetes 1.21 - Serviceregistration is not reloading the service account token,hashicorp-vault - service registration,Service registration is not updated as expected,1.0,1.0,,,,1,usability,1.0,Usability,,20,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,14275,https://github.com/hashicorp/vault/issues/14275,2022-02-25 15:56:32+00:00,2,2,question,question,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'question' present,Getting Permission Denied for Userpass Token lookup,hashicorp-vault,Permission is dennied when userpass token is looked up,1.0,1.0,,,,1,usability,1.0,Usability,,21,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,14394,https://github.com/hashicorp/vault/issues/14394,2022-03-07 20:59:20+00:00,0,0,"bug, core, os/windows",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,vault debug on Windows results in panic,hashicorp-vault - output,The debug output generates more context than needed,1.0,0.0,,,,0,non-unsability,0.0,Non-usability,,22,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,15196,https://github.com/hashicorp/vault/issues/15196,2022-04-27 11:13:26+00:00,1,1,"bug, ui",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,"Web UI with policy to allow update of group membership gives ""Permission Denied""",hashicrop-vault - webpage,permission to change is denied despite no changes.,1.0,1.0,,,,1,usability,1.0,Usability,,23,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,15210,https://github.com/hashicorp/vault/issues/15210,2022-04-28 13:40:48+00:00,3,2,bug,bug,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'bug' present,Upgrading cluster to v1.9.4 fails,hashicrop-vault - cluster,The node in the cluster cannot be replaced with a newer version,1.0,1.0,,,,1,non-usability (usability),0.0,Non-usability,,24,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,15252,https://github.com/hashicorp/vault/issues/15252,2022-05-01 13:42:03+00:00,1,1,"bug, core/cli, good-first-issue",bug,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'bug' present,Issues with `vault operator generate-root` CLI help message,hashicrop-vault - CLI,Command Line Interface (CLI) help message is incorrect ,1.0,1.0,,,,1,usability,1.0,Usability,,25,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,15641,https://github.com/hashicorp/vault/issues/15641,2022-05-26 14:46:29+00:00,2,2,release/packaging,release/packaging,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'release/packaging' present,APT repository missing latest versions,hashicorp-vault - CLI/APT installation,Wrong APT command line installation leads to failure with the latest version,1.0,1.0,,,,1,usability,1.0,Usability,,26,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,16151,https://github.com/hashicorp/vault/issues/16151,2022-06-27 13:40:19+00:00,5,5,,,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads),Vault create enormous goroutine and consume a lot memory which causing OOM ,hashicorp-vault,"Goroutine get created, causing OOM then get restarted",1.0,0.0,,,,1(0),non-usability,0.0,Non-usability,,27,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,16158,https://github.com/hashicorp/vault/issues/16158,2022-06-27 17:43:34+00:00,2,2,"question, storage/raft",question,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'question' present,Bad interaction between Auto Unseal with Azure Key Vault + Integrated Storage,hashicorp-vault - storage,Storage fail to setup auto-unseal and also fail to join the raft cluster.,1.0,1.0,,,,1,usability,1.0,Usability,,28,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,16282,https://github.com/hashicorp/vault/issues/16282,2022-07-12 20:54:48+00:00,1,1,"auth/approle, core/api, devex, enhancement",auth/approle,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'auth/approle' present,Addition of creation of Vault App Roles through Go SDK,hashicorp-vault,Missing a dedicated method to change the AppRole functionality,1.0,1.0,,,,0(1),usability,0.0,Non-usability,,29,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,16367,https://github.com/hashicorp/vault/issues/16367,2022-07-19 21:53:42+00:00,2,2,"cryptosec, enhancement, secret/transit",cryptosec,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'cryptosec' present,The transit secrets engine does not support RSA padding scheme pkcs1v15 for encryption.,hashicorp-vault,The users request to use the Vault transit secrets engine to sign and decrypt with some padding schemes ,1.0,1.0,,,,0(1),usability,0.0,Non-usability,,30,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,16424,https://github.com/hashicorp/vault/issues/16424,2022-07-22 15:12:20+00:00,7,4,question,question,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,Unable to install vault in Suse Linux Micro OS,hashicorp-vault - OS/Virtual Machine,Vault cannot be deployed on a specific version of Linux Virtual Machine,1.0,1.0,,,,1,usability,1.0,Usability,,31,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,16529,https://github.com/hashicorp/vault/issues/16529,2022-08-02 15:55:24+00:00,1,1,"cryptosec, secret/pki, secret/transit",cryptosec,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'cryptosec' present,Digital signature endpoint for PKI engines,hashicorp-vault - signature,the user make a request to have a digital signature for PKIs engine,1.0,1.0,,,,0(1),usability,0.0,Non-usability,,32,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,16750,https://github.com/hashicorp/vault/issues/16750,2022-08-16 18:35:10+00:00,0,0,"auth/mfa, bug, core/identity",auth/mfa,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'auth/mfa' present,/identity/mfa/login-enforcement does not accept an array for identity_group_ids,hashicorp-vault,A bug ( /identity/mfa/login-enforcement) encountered when supplied with multiple group ID,1.0,1.0,,,,0,usability(non-usability),0.0,Non-usability,,33,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,16820,https://github.com/hashicorp/vault/issues/16820,2022-08-22 19:21:05+00:00,0,0,"core/telemetry, enhancement",core/telemetry,early,short,time-stratum: early (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/telemetry' present,[Feature Request] Support Customizable Notifications for certain conditions,hashicorp-vault - notifications,A request from the suers to have support customizable email notifications,1.0,1.0,,,,0,non-usability,1.0,Non-usability,,34,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,17130,https://github.com/hashicorp/vault/issues/17130,2022-09-14 07:42:30+00:00,9,6,"auth/oidc, core/cli",auth/oidc,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'auth/oidc' present,vault cli doesn't listen on secure port during oidc login even when explicitly asked to do so,hashicorp-vault - CLI,CLI listens to the wrong secure port,0.0,1.0,,,,1,usability,1.0,Usability,,35,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,17246,https://github.com/hashicorp/vault/issues/17246,2022-09-21 00:53:19+00:00,4,4,core/api,core/api,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/api' present,Error making API request - * permission denied,hashicorp-vault - API,The permission is denied when making API request,1.0,1.0,,,,1,usability,1.0,Usability,,36,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,17325,https://github.com/hashicorp/vault/issues/17325,2022-09-27 15:03:15+00:00,3,3,"ecosystem/plugin, enhancement, feature-request, ui",ecosystem/plugin,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,Feature UI Improvement: dynamic search and filter for Secret Engines list,hashicorp-vault - UI,A search engine is requested since the scrolling  feature is not enough,1.0,1.0,,,,1,usability,1.0,Usability,,37,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,17475,https://github.com/hashicorp/vault/issues/17475,2022-10-10 15:41:27+00:00,2,2,"auth/jwt-oidc, enhancement, ui",auth/jwt-oidc,early,medium,time-stratum: early (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/jwt-oidc' present,Support passthrough authentication in the vault UI,hashicorp-vault,A common login scheme is requested,1.0,1.0,,,,1,usability,1.0,Usability,,38,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,17737,https://github.com/hashicorp/vault/issues/17737,2022-10-29 09:40:02+00:00,26,4,"bug, core/ha, storage/dynamodb",bug,early,long,time-stratum: early (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Huge regression: Upgrading HA DynamoDB backend based Vault cluster to 1.11.0 and upwards breaks functional cluster,hashicorp-vault - database,Upgrading to a newer version of databaset (dynamoDB) make the cluster non functional,1.0,1.0,,,,0(1),usability,0.0,Non-usability,,39,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,18151,https://github.com/hashicorp/vault/issues/18151,2022-11-30 10:35:08+00:00,9,3,question,question,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,"BUG: Too many arguments (expected 2, got 3)",hashicorp-vault - CLI,CLI do not show clear expectations with the number of arguments,0.0,1.0,,,,1,usability,1.0,Usability,,40,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,18237,https://github.com/hashicorp/vault/issues/18237,2022-12-06 12:01:54+00:00,1,1,"ecosystem, secret/rabbitmq",ecosystem,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem' present,RabbitMQ engine should use Orphan tokens,hashicorp-vault - CLI,Username and password generated by RabbitMQ Engine cannot be used due to immediately deletion,1.0,1.0,,,,1,usability,1.0,Usability,,41,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,18248,https://github.com/hashicorp/vault/issues/18248,2022-12-06 21:09:43+00:00,2,2,storage/gcs,storage/gcs,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'storage/gcs' present,Object name too long on GCS data backend,hashicorp-vault,Object name exceed the maximum number of characters,1.0,1.0,,,,1,usability(non-usability),0.0,Non-usability,,42,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,18251,https://github.com/hashicorp/vault/issues/18251,2022-12-07 05:54:27+00:00,6,3,core/replication,core/replication,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/replication' present,Issue with the vault cache in the secondary datacenter in multi-datacenter setup,hashicorp-vault,vault caches more than needed information that makes successful replication still unusable,1.0,1.0,,,,1,usability,1.0,Usability,,43,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,18433,https://github.com/hashicorp/vault/issues/18433,2022-12-16 07:31:32+00:00,2,2,agent,agent,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'agent' present,Vault injects missing variable as a variable with <no_value> string value,hashicorp-vault,Vault assign wrong value to the variable instead of skipping it.,1.0,1.0,,,,1,usability,1.0,Usability,,44,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,18491,https://github.com/hashicorp/vault/issues/18491,2022-12-20 10:30:11+00:00,4,2,"ecosystem, k8s, ui",ecosystem,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'ecosystem' present,Access vault web UI with TLS enabed + raft,hashicorp-vault - UI,Vault UI with ingress is inaccesible ,1.0,1.0,,,,1,usability,1.0,Usability,,45,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,18573,https://github.com/hashicorp/vault/issues/18573,2022-12-30 04:15:00+00:00,2,1,"core/api, dependencies",core/api,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/api' present,HTTP 301 on wrong http address,hashicorp-vault - output,The user is expecting another output errors,1.0,1.0,,,,1,usability,1.0,Usability,,46,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,19155,https://github.com/hashicorp/vault/issues/19155,2023-02-11 09:20:03+00:00,1,1,ecosystem/plugin,ecosystem/plugin,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,[Plugin Portal] Plugin Submission - <PLUGIN NAME>,,,1.0,1.0,,,,1(0),non-usability,0.0,Non-usability,,47,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,19209,https://github.com/hashicorp/vault/issues/19209,2023-02-16 11:06:59+00:00,3,2,"auth/jwt-oidc, ecosystem, enhancement, feature-request",auth/jwt-oidc,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/jwt-oidc' present,Support Signing JSON object and providing JWKS url,hashicorp-vault,Signing a JWT and providing JWKS URL is not  available to Azure,1.0,1.0,,,,1,usability,1.0,Usability,,48,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,19490,https://github.com/hashicorp/vault/issues/19490,2023-03-09 12:49:54+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),Cannot create JWT role through cli - error message user claim must be defined but it gets provided,hashicorp-vault - CLI,"Vault CLI cannot create vault role, but is resolved in another issue",0.0,1.0,,,,1,usability,1.0,Usability,,49,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,19568,https://github.com/hashicorp/vault/issues/19568,2023-03-15 21:09:49+00:00,6,4,"bug, ui",bug,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'bug' present,Vault Browser CLI issues,hashicorp-vault - CLI,CLI has formatting issue,1.0,1.0,,,,1,usability,1.0,Usability,,50,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,19697,https://github.com/hashicorp/vault/issues/19697,2023-03-23 12:07:53+00:00,0,0,"core/lease, feature-request",core/lease,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads); label-diversity: 'core/lease' present,Lease since first use,hashicorp-vault,"A feature request track the lease after starting ""only"" the first time the token gets used.",,,,,,1,usability,1.0,Usability,,51,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,20272,https://github.com/hashicorp/vault/issues/20272,2023-04-20 09:25:39+00:00,2,2,"core/cli, enhancement",core/cli,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'core/cli' present,Support providing a different path for the internal token helper than ~/.vault-token (patch included),,,,,,,,1,Usability,1.0,Usability,,52,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,20589,https://github.com/hashicorp/vault/issues/20589,2023-05-15 16:04:28+00:00,2,2,,,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads),Vercel is blocking PR process,,,,,,,,1(0),non-usability,0.0,Non-usability,,53,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,21521,https://github.com/hashicorp/vault/issues/21521,2023-06-30 14:52:27+00:00,5,2,core/seal,core/seal,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/seal' present,"Keyring corrupted: unseal failed, invalid key",,,,,,,,1,usability,1.0,Usability,,54,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,21976,https://github.com/hashicorp/vault/issues/21976,2023-07-20 17:00:49+00:00,2,2,ecosystem/plugin,ecosystem/plugin,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'ecosystem/plugin' present,`--args` in `vault plugin register` does not handle multiple arguments correctly when registering auth plugin. ,,,,,,,,1,usability,1.0,Usability,,55,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,22045,https://github.com/hashicorp/vault/issues/22045,2023-07-25 10:56:10+00:00,1,1,,,middle,short,time-stratum: middle (temporal coverage); thread-size: short (ensure short/medium/long threads),CI summary GitHub action fails on community PRs,,,,,,,,0,non-usability,1.0,Non-usability,,56,original_sample_sheet,Non-usability,consensus_Usability_agreed
hashicorp/vault,22214,https://github.com/hashicorp/vault/issues/22214,2023-08-05 09:56:45+00:00,3,3,question,question,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'question' present,JKS support in the Vault UI for easy management of the keystore,,,,,,,,1,usability,1.0,Usability,,57,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,22461,https://github.com/hashicorp/vault/issues/22461,2023-08-19 07:29:46+00:00,2,2,"auth/aws, core/auth",auth/aws,middle,medium,time-stratum: middle (temporal coverage); thread-size: medium (ensure short/medium/long threads); label-diversity: 'auth/aws' present,Add Role ARN to AWS IAM Authentication Entity Alias Names.,,,,,,,,1,usability,1.0,Usability,,58,original_sample_sheet,Usability,consensus_Usability_agreed
hashicorp/vault,22578,https://github.com/hashicorp/vault/issues/22578,2023-08-27 06:24:04+00:00,8,2,core/seal,core/seal,middle,long,time-stratum: middle (temporal coverage); thread-size: long (ensure short/medium/long threads); label-diversity: 'core/seal' present,GCPCKMS method starts pods in a crashloop,,,,,,,,1,non-usability(usability),0.0,Non-usability,,59,original_sample_sheet,Non-usability,consensus_Usability_agreed
