sample_id,repo,issue_number,code_primary_semantic_agree,judge_raw_json
48,hashicorp/vault,19209,yes,"{""code_primary_semantic_agree"": true}"
49,hashicorp/vault,19490,yes,"{""code_primary_semantic_agree"": true}"
50,hashicorp/vault,19568,yes,"{""code_primary_semantic_agree"": true}"
51,hashicorp/vault,19697,no,"{""code_primary_semantic_agree"": false}"
52,hashicorp/vault,20272,yes,"{""code_primary_semantic_agree"": true}"
53,hashicorp/vault,20589,yes,"{""code_primary_semantic_agree"": true}"
54,hashicorp/vault,21521,yes,"{""code_primary_semantic_agree"": true}"
55,hashicorp/vault,21976,yes,"{""code_primary_semantic_agree"": true}"
56,hashicorp/vault,22045,yes,"{""code_primary_semantic_agree"": true}"
57,hashicorp/vault,22214,yes,"{""code_primary_semantic_agree"": true}"
58,hashicorp/vault,22461,no,"{""code_primary_semantic_agree"": false}"
59,hashicorp/vault,22578,yes,"{""code_primary_semantic_agree"": true}"
60,hashicorp/vault,22602,yes,"{""code_primary_semantic_agree"": true}"
61,hashicorp/vault,23793,no,"{""code_primary_semantic_agree"": false}"
62,hashicorp/vault,23800,yes,"{""code_primary_semantic_agree"": true}"
63,hashicorp/vault,23941,yes,"{""code_primary_semantic_agree"": true}"
64,hashicorp/vault,24039,yes,"{""code_primary_semantic_agree"": true}"
65,hashicorp/vault,24255,yes,"{""code_primary_semantic_agree"": true}"
66,hashicorp/vault,24269,yes,"{""code_primary_semantic_agree"": true}"
67,hashicorp/vault,24604,yes,"{""code_primary_semantic_agree"": true}"
68,hashicorp/vault,24617,yes,"{""code_primary_semantic_agree"": true}"
69,hashicorp/vault,24725,yes,"{""code_primary_semantic_agree"": true}"
70,hashicorp/vault,24853,yes,"{""code_primary_semantic_agree"": true}"
71,hashicorp/vault,24956,yes,"{""code_primary_semantic_agree"": true}"
72,hashicorp/vault,25506,yes,"{""code_primary_semantic_agree"": true}"
73,hashicorp/vault,26164,yes,"{""code_primary_semantic_agree"": true}"
74,hashicorp/vault,26180,yes,"{""code_primary_semantic_agree"": true}"
75,hashicorp/vault,27343,yes,"{""code_primary_semantic_agree"": true}"
76,hashicorp/vault,27344,yes,"{""code_primary_semantic_agree"": true}"
77,hashicorp/vault,27805,yes,"{""code_primary_semantic_agree"": true}"
78,hashicorp/vault,27935,yes,"{""code_primary_semantic_agree"": true}"
79,hashicorp/vault,28073,no,"{""code_primary_semantic_agree"": false}"
80,hashicorp/vault,28457,yes,"{""code_primary_semantic_agree"": true}"
81,hashicorp/vault,28738,yes,"{""code_primary_semantic_agree"": true}"
82,hashicorp/vault,28792,yes,"{""code_primary_semantic_agree"": true}"
83,hashicorp/vault,28993,yes,"{""code_primary_semantic_agree"": true}"
84,hashicorp/vault,29033,yes,"{""code_primary_semantic_agree"": true}"
85,hashicorp/vault,29099,yes,"{""code_primary_semantic_agree"": true}"
86,hashicorp/vault,29101,yes,"{""code_primary_semantic_agree"": true}"
87,hashicorp/vault,29179,yes,"{""code_primary_semantic_agree"": true}"
88,hashicorp/vault,29287,yes,"{""code_primary_semantic_agree"": true}"
89,hashicorp/vault,29362,yes,"{""code_primary_semantic_agree"": true}"
90,hashicorp/vault,29417,yes,"{""code_primary_semantic_agree"": true}"
91,hashicorp/vault,29928,yes,"{""code_primary_semantic_agree"": true}"
92,hashicorp/vault,30362,yes,"{""code_primary_semantic_agree"": true}"
93,hashicorp/vault,30858,yes,"{""code_primary_semantic_agree"": true}"
94,hashicorp/vault,31343,yes,"{""code_primary_semantic_agree"": true}"
95,hashicorp/vault,31372,yes,"{""code_primary_semantic_agree"": true}"
96,hashicorp/vault,31615,yes,"{""code_primary_semantic_agree"": true}"
97,hashicorp/vault,31621,yes,"{""code_primary_semantic_agree"": true}"
98,notaryproject/notation,211,yes,"{""code_primary_semantic_agree"": true}"
99,notaryproject/notation,233,yes,"{""code_primary_semantic_agree"": true}"
100,notaryproject/notation,320,yes,"{""code_primary_semantic_agree"": true}"
101,notaryproject/notation,379,no,"{""code_primary_semantic_agree"": false}"
102,notaryproject/notation,383,yes,"{""code_primary_semantic_agree"": true}"
103,notaryproject/notation,547,yes,"{""code_primary_semantic_agree"": true}"
104,notaryproject/notation,574,yes,"{""code_primary_semantic_agree"": true}"
105,notaryproject/notation,655,yes,"{""code_primary_semantic_agree"": true}"
106,notaryproject/notation,659,yes,"{""code_primary_semantic_agree"": true}"
107,notaryproject/notation,671,yes,"{""code_primary_semantic_agree"": true}"
108,notaryproject/notation,829,yes,"{""code_primary_semantic_agree"": true}"
109,notaryproject/notation,851,no,"{""code_primary_semantic_agree"": false}"
110,notaryproject/notation,880,yes,"{""code_primary_semantic_agree"": true}"
111,notaryproject/notation,1012,yes,"{""code_primary_semantic_agree"": true}"
112,notaryproject/notation,1239,yes,"{""code_primary_semantic_agree"": true}"
113,openpubkey/openpubkey,4,yes,"{""code_primary_semantic_agree"": true}"
114,openpubkey/openpubkey,61,yes,"{""code_primary_semantic_agree"": true}"
115,openpubkey/openpubkey,100,yes,"{""code_primary_semantic_agree"": true}"
116,openpubkey/openpubkey,137,yes,"{""code_primary_semantic_agree"": true}"
117,openpubkey/openpubkey,157,yes,"{""code_primary_semantic_agree"": true}"
118,openpubkey/openpubkey,226,yes,"{""code_primary_semantic_agree"": true}"
119,openpubkey/openpubkey,254,yes,"{""code_primary_semantic_agree"": true}"
120,sigstore/cosign,1048,yes,"{""code_primary_semantic_agree"": true}"
121,sigstore/cosign,1215,yes,"{""code_primary_semantic_agree"": true}"
122,sigstore/cosign,1288,yes,"{""code_primary_semantic_agree"": true}"
123,sigstore/cosign,1321,yes,"{""code_primary_semantic_agree"": true}"
124,sigstore/cosign,1323,yes,"{""code_primary_semantic_agree"": true}"
125,sigstore/cosign,1385,no,"{""code_primary_semantic_agree"": false}"
126,sigstore/cosign,1443,yes,"{""code_primary_semantic_agree"": true}"
127,sigstore/cosign,1554,yes,"{""code_primary_semantic_agree"": true}"
128,sigstore/cosign,1642,yes,"{""code_primary_semantic_agree"": true}"
129,sigstore/cosign,1653,yes,"{""code_primary_semantic_agree"": true}"
130,sigstore/cosign,1655,yes,"{""code_primary_semantic_agree"": true}"
131,sigstore/cosign,1847,yes,"{""code_primary_semantic_agree"": true}"
132,sigstore/cosign,1853,yes,"{""code_primary_semantic_agree"": true}"
133,sigstore/cosign,1994,yes,"{""code_primary_semantic_agree"": true}"
134,sigstore/cosign,2053,yes,"{""code_primary_semantic_agree"": true}"
135,sigstore/cosign,2068,yes,"{""code_primary_semantic_agree"": true}"
136,sigstore/cosign,2097,yes,"{""code_primary_semantic_agree"": true}"
137,sigstore/cosign,2382,yes,"{""code_primary_semantic_agree"": true}"
138,sigstore/cosign,2419,yes,"{""code_primary_semantic_agree"": true}"
139,sigstore/cosign,2462,yes,"{""code_primary_semantic_agree"": true}"
140,sigstore/cosign,2516,yes,"{""code_primary_semantic_agree"": true}"
141,sigstore/cosign,2518,yes,"{""code_primary_semantic_agree"": true}"
142,sigstore/cosign,2568,yes,"{""code_primary_semantic_agree"": true}"
143,sigstore/cosign,2593,yes,"{""code_primary_semantic_agree"": true}"
144,sigstore/cosign,2832,yes,"{""code_primary_semantic_agree"": true}"
145,sigstore/cosign,2858,yes,"{""code_primary_semantic_agree"": true}"
146,sigstore/cosign,3025,yes,"{""code_primary_semantic_agree"": true}"
147,sigstore/cosign,3235,yes,"{""code_primary_semantic_agree"": true}"
148,sigstore/cosign,3260,yes,"{""code_primary_semantic_agree"": true}"
149,sigstore/cosign,3330,yes,"{""code_primary_semantic_agree"": true}"
150,sigstore/cosign,3340,yes,"{""code_primary_semantic_agree"": true}"
151,sigstore/cosign,3343,yes,"{""code_primary_semantic_agree"": true}"
152,sigstore/cosign,3368,yes,"{""code_primary_semantic_agree"": true}"
153,sigstore/cosign,3465,yes,"{""code_primary_semantic_agree"": true}"
154,sigstore/cosign,3671,yes,"{""code_primary_semantic_agree"": true}"
155,sigstore/cosign,3976,yes,"{""code_primary_semantic_agree"": true}"
156,sigstore/cosign,4012,yes,"{""code_primary_semantic_agree"": true}"
157,sigstore/cosign,4076,yes,"{""code_primary_semantic_agree"": true}"
158,sigstore/cosign,4098,yes,"{""code_primary_semantic_agree"": true}"
159,sigstore/cosign,4204,no,"{""code_primary_semantic_agree"": false}"
160,sigstore/fulcio,238,yes,"{""code_primary_semantic_agree"": true}"
161,sigstore/fulcio,243,yes,"{""code_primary_semantic_agree"": true, ""note"": ""human missing""}"
162,sigstore/fulcio,489,yes,"{""code_primary_semantic_agree"": true, ""note"": ""human missing""}"
