repo,L1_Theme,__source_file__,l1_theme_raw,l1_theme_canonical,l1_theme_secondary_group
Keyfactor/ejbca-ce,"Authentication friction, User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Authentication friction,Authentication friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Unexpected behavior",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Unexpected behavior",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Security concerns, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Security concerns, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Security concerns,Security concerns,Functional Reliability
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Security concerns, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,User confusion / unclear documentation,Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Build/CI/installation/distribution release issues, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Build/CI/installation/distribution release issues, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Build/CI/installation/distribution release issues, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, User confusion / unclear documentation, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Authentication friction,Authentication friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, User confusion / unclear documentation, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, User confusion / unclear documentation, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Configuration friction",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, Integration failure/issues",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,User confusion / unclear documentation,Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Authentication friction,Authentication friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,Unexpected behavior,Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Security concerns",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Security concerns",Keyfactor__ejbca-ce___non-human.xlsx,Security concerns,Security concerns,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Configuration friction, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,Build/CI/installation/distribution release issues,Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Missing feature / enhancement request",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Integration failure/issues, Missing feature / enhancement request",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,Build/CI/installation/distribution release issues,Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Configuration friction, Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Configuration friction, Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Configuration friction, Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Build/CI/installation/distribution release issues, Configuration friction, Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Security concerns",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Security concerns",Keyfactor__ejbca-ce___non-human.xlsx,Security concerns,Security concerns,Functional Reliability
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Unexpected behavior",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Unexpected behavior",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Unexpected behavior,Unexpected behavior,Functional Reliability
Keyfactor/ejbca-ce,"Unexpected behavior, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Performance issue",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Performance issue",Keyfactor__ejbca-ce___non-human.xlsx,Performance issue,Performance issue,Functional Reliability
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Notification/Logging /Web UI Issues, Tedious Workflows",Keyfactor__ejbca-ce___non-human.xlsx,Missing feature / enhancement request,Missing feature / enhancement request,Functional Gap
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Notification/Logging /Web UI Issues, Tedious Workflows",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"Missing feature / enhancement request, Notification/Logging /Web UI Issues, Tedious Workflows",Keyfactor__ejbca-ce___non-human.xlsx,Tedious Workflows,Tedious Workflows,Operational Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"User confusion / unclear documentation, Notification/Logging /Web UI Issues",Keyfactor__ejbca-ce___non-human.xlsx,Notification/Logging /Web UI Issues,Notification/Logging Issues,Cognitive Friction
Keyfactor/ejbca-ce,"Configuration friction, Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Configuration friction, Integration failure/issues, User confusion / unclear documentation",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Authentication friction,Authentication friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Configuration friction,Configuration friction,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,User confusion / unclear documentation,User confusion / unclear documentation,Cognitive Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Integration failure/issues,Integration failure/issues,Operational Friction
Keyfactor/ejbca-ce,"Authentication friction, Configuration friction, User confusion / unclear documentation, Integration failure/issues, Build/CI/installation/distribution release issues",Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
Keyfactor/ejbca-ce,Build/CI/installation/distribution release issues,Keyfactor__ejbca-ce___non-human.xlsx,Build/CI/installation/distribution release issues,Build/CI/installation/distribution release issues,Operational Friction
